kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68659 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68659 8258601 0 0 0 0 0 0 0 
_1.ptx 99 : 68659 485118 0 0 0 0 0 0 0 
_1.ptx 100 : 68659 694626 0 0 0 0 0 0 0 
_1.ptx 101 : 68659 757929 0 0 0 0 0 0 0 
_1.ptx 105 : 414812 256380600 3278848 0 0 204541 58304 0 0 
_1.ptx 106 : 414812 2911491 0 0 0 0 0 0 0 
_1.ptx 107 : 414812 4567535 0 0 0 0 0 0 0 
_1.ptx 108 : 414812 289713608 65408 0 0 413413 58304 0 0 
_1.ptx 109 : 414812 2496414 0 0 0 0 0 0 0 
_1.ptx 110 : 414812 3322737 0 0 0 0 0 0 0 
_1.ptx 111 : 414812 1406895 0 0 0 0 0 0 26868 
_1.ptx 113 : 180631 18857868 0 0 0 0 0 0 0 
_1.ptx 114 : 180631 1822542 0 0 0 0 0 0 0 
_1.ptx 115 : 180631 1991703 0 0 0 0 0 0 0 
_1.ptx 116 : 180631 84070891 1792 0 0 40130 40130 0 0 
_1.ptx 117 : 180631 1809771 0 0 0 0 0 0 0 
_1.ptx 118 : 180631 1814269 0 0 0 0 0 0 0 
_1.ptx 119 : 180631 1989280 0 0 0 0 0 0 0 
_1.ptx 120 : 180631 30624725 68064 0 0 180278 40130 0 0 
_1.ptx 122 : 180631 1087171 0 0 0 0 0 0 0 
_1.ptx 123 : 180631 1992421 0 0 0 0 0 0 0 
_1.ptx 124 : 180631 36432678 192 0 0 180278 40130 0 0 
_1.ptx 126 : 180631 1086736 0 0 0 0 0 0 0 
_1.ptx 127 : 180631 28292278 0 0 0 0 0 0 0 
_1.ptx 128 : 180631 19780088 32 0 0 40130 40130 0 0 
_1.ptx 129 : 180631 91380263 0 0 0 62988 40130 0 0 
_1.ptx 130 : 180631 79874370 0 0 0 62988 40130 0 0 
_1.ptx 131 : 180631 1990149 0 0 0 0 0 0 0 
_1.ptx 134 : 414812 4156613 0 0 0 0 0 0 0 
_1.ptx 135 : 414812 4162020 0 0 0 0 0 0 0 
_1.ptx 136 : 414812 3326423 0 0 0 0 0 0 0 
_1.ptx 137 : 414812 2080003 0 0 0 0 0 0 25987 
_1.ptx 141 : 589824 3706336 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3724672 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 9091296 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4188416 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6970944 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12352960 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4861472 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4586368 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8426144 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6565152 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 127587072 72832 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3630912 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4873088 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3365086 0 0 0 0 0 0 6290 
_1.ptx 81 : 68659 421610 0 0 0 0 0 0 0 
_1.ptx 82 : 68659 5240722 0 0 0 6290 6290 0 0 
_1.ptx 84 : 68659 4269943 0 0 0 0 0 0 0 
_1.ptx 85 : 68659 417356 0 0 0 0 0 0 0 
_1.ptx 86 : 68659 760374 0 0 0 0 0 0 0 
_1.ptx 87 : 68659 6054861 32 0 0 6290 6290 0 0 
_1.ptx 89 : 68659 5050804 0 0 0 0 0 0 0 
_1.ptx 90 : 68659 694316 0 0 0 0 0 0 0 
_1.ptx 91 : 68659 759721 0 0 0 0 0 0 0 
_1.ptx 92 : 68659 43532940 1320832 0 0 11019 6290 0 0 
_1.ptx 93 : 68659 482610 0 0 0 0 0 0 0 
_1.ptx 94 : 68659 17342935 0 0 0 11019 6290 0 0 
_1.ptx 95 : 68659 757313 0 0 0 0 0 0 0 
_1.ptx 96 : 68659 552234 0 0 0 0 0 0 0 
