kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2073312 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2259936 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3014688 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2822176 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2077344 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1809888 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2222048 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3003904 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2029376 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2011680 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2826080 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5523200 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2971360 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4812960 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3001888 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1750944 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2033152 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 407317248 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 408600768 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9742624 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10923552 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10987584 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10987552 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8798400 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5133120 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1714208 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6365024 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2962080 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2980832 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2221888 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1310112 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 436480 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4494752 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5554272 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3206189 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1580831 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1406428 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1605614 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2264550 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2387214 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2752710 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2906772 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2360839 0 0 0 0 0 0 0 
