kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68707 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68707 8546862 0 0 0 0 0 0 0 
_1.ptx 99 : 68707 485163 0 0 0 0 0 0 0 
_1.ptx 100 : 68707 694837 0 0 0 0 0 0 0 
_1.ptx 101 : 68707 758343 0 0 0 0 0 0 0 
_1.ptx 105 : 414979 259101535 3720704 0 0 204048 58023 0 0 
_1.ptx 106 : 414979 2912053 0 0 0 0 0 0 0 
_1.ptx 107 : 414979 4569318 0 0 0 0 0 0 0 
_1.ptx 108 : 414979 290112042 68864 0 0 413575 58023 0 0 
_1.ptx 109 : 414979 2498033 0 0 0 0 0 0 0 
_1.ptx 110 : 414979 3323746 0 0 0 0 0 0 0 
_1.ptx 111 : 414979 1408297 0 0 0 0 0 0 26726 
_1.ptx 113 : 180561 19287745 0 0 0 0 0 0 0 
_1.ptx 114 : 180561 1820966 0 0 0 0 0 0 0 
_1.ptx 115 : 180561 1990805 0 0 0 0 0 0 0 
_1.ptx 116 : 180561 84112957 51072 0 0 39992 39992 0 0 
_1.ptx 117 : 180561 1809352 0 0 0 0 0 0 0 
_1.ptx 118 : 180561 1812894 0 0 0 0 0 0 0 
_1.ptx 119 : 180561 1988913 0 0 0 0 0 0 0 
_1.ptx 120 : 180561 31056574 217856 0 0 180199 39992 0 0 
_1.ptx 122 : 180561 1086640 0 0 0 0 0 0 0 
_1.ptx 123 : 180561 1991391 0 0 0 0 0 0 0 
_1.ptx 124 : 180561 36617302 11008 0 0 180199 39992 0 0 
_1.ptx 126 : 180561 1086435 0 0 0 0 0 0 0 
_1.ptx 127 : 180561 28369812 0 0 0 0 0 0 0 
_1.ptx 128 : 180561 20377691 32 0 0 39992 39992 0 0 
_1.ptx 129 : 180561 92229549 94592 0 0 62751 39992 0 0 
_1.ptx 130 : 180561 80218158 896 0 0 62751 39992 0 0 
_1.ptx 131 : 180561 1989671 0 0 0 0 0 0 0 
_1.ptx 134 : 414979 4157463 0 0 0 0 0 0 0 
_1.ptx 135 : 414979 4163623 0 0 0 0 0 0 0 
_1.ptx 136 : 414979 3327436 0 0 0 0 0 0 0 
_1.ptx 137 : 414979 2080615 0 0 0 0 0 0 25913 
_1.ptx 141 : 524288 3272032 0 0 0 0 0 0 0 
_1.ptx 66 : 524288 3296032 0 0 0 0 0 0 0 
_1.ptx 67 : 524288 8022368 0 0 0 0 0 0 0 
_1.ptx 68 : 524288 3706976 0 0 0 0 0 0 0 
_1.ptx 69 : 524288 6186112 0 0 0 0 0 0 0 
_1.ptx 70 : 524288 12321280 128 0 0 0 0 0 0 
_1.ptx 71 : 524288 4321344 0 0 0 0 0 0 0 
_1.ptx 72 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 73 : 524288 4067040 0 0 0 0 0 0 0 
_1.ptx 74 : 524288 7946048 0 0 0 0 0 0 0 
_1.ptx 75 : 524288 5831552 0 0 0 0 0 0 0 
_1.ptx 76 : 524288 124497824 106496 0 0 16384 16384 0 0 
_1.ptx 77 : 524288 3225888 0 0 0 0 0 0 0 
_1.ptx 78 : 524288 4323040 0 0 0 0 0 0 0 
_1.ptx 79 : 524288 2925178 0 0 0 0 0 0 6279 
_1.ptx 81 : 68707 420316 0 0 0 0 0 0 0 
_1.ptx 82 : 68707 5150670 64 0 0 6279 6279 0 0 
_1.ptx 84 : 68707 4239959 0 0 0 0 0 0 0 
_1.ptx 85 : 68707 416907 0 0 0 0 0 0 0 
_1.ptx 86 : 68707 760532 0 0 0 0 0 0 0 
_1.ptx 87 : 68707 5963084 32 0 0 6279 6279 0 0 
_1.ptx 89 : 68707 5025496 0 0 0 0 0 0 0 
_1.ptx 90 : 68707 694617 0 0 0 0 0 0 0 
_1.ptx 91 : 68707 761113 0 0 0 0 0 0 0 
_1.ptx 92 : 68707 43684486 1391104 0 0 11006 6279 0 0 
_1.ptx 93 : 68707 482952 0 0 0 0 0 0 0 
_1.ptx 94 : 68707 17555014 7296 0 0 11006 6279 0 0 
_1.ptx 95 : 68707 757737 0 0 0 0 0 0 0 
_1.ptx 96 : 68707 552733 0 0 0 0 0 0 0 
