kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 480352 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 459584 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 467296 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 3442464 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 448864 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 748128 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 546304 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 4159456 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 557632 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 194816 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 457504 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 754496 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 471392 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 3370912 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 512224 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 3291296 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 511264 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 215776 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 597344 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 192960 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 729920 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 3490400 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 209792 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 727808 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 235520 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 730816 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 247104 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 730144 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 404288 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 727552 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 670404256 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 668074688 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 676418240 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 26749024 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 211458048 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 144273920 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 16837312 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 148173024 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 26712896 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 14825408 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 27611904 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 15128192 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 26611968 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 147407008 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 19507360 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 26154976 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 210292448 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 24160640 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 24197536 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 14814720 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 18586880 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 15252288 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 25909536 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 18009792 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 15805056 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 18360032 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 15355648 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 25680192 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 17282272 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 26327776 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 15971520 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 16310016 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19868224 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 26355328 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 15938528 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 16355264 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 19799392 0 0 0 0 0 0 0 
