kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3056156 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 590535 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 619190 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5589901 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5620796 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3785643 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4492367 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2675055 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 910905 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1105375 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1025991 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 891240 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100217 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1008387 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1104025 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 898897 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1094622 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 442998 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 683241 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 508231 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 491720 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 772163 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 714078 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 298403 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 301770 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 307335 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 310643 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 305693 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 308271 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 301239 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 701852 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 706235 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 708514 0 0 0 0 0 0 0 
