kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2072768 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2255200 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3018976 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2818976 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2075904 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1808672 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2223200 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3001984 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2032800 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2015424 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2815776 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5984480 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2971776 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4731968 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3006208 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1751648 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2039328 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 404902560 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 405552128 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9736864 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10912608 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10976928 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10988928 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8807424 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5129312 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1709280 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6389696 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2960896 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2976768 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2220000 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1314272 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 435072 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4485504 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5568480 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3217778 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1589915 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1415517 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1608550 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2264860 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2379454 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2799611 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2941740 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2355615 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1655106 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2811153 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2291293 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 4023357 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3505505 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3016942 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3259671 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3025963 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3028108 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 214976 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3076233 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 243200 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2322627 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4765760 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 476864 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 279904 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 233440 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5280096 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 230432 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4637504 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 281728 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5716672 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 234400 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4168128 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 236288 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 484236 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 280800 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 219200 0 0 0 0 0 0 0 
_1.ptx 175 : 256 4915 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 220352 0 0 0 0 0 0 0 
_1.ptx 176 : 256 3287 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1977 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2711 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2959 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 490880 0 0 0 0 0 0 0 
_1.ptx 180 : 256 5108 256 0 0 256 256 0 0 
_1.ptx 83 : 65536 564736 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 758336 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 760224 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 538592 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 569952 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 498368 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 225984 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 546720 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 774272 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 738720 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 231520 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 1015392 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 1049888 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 797216 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 2076480 0 0 0 0 0 0 0 
