kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 113688864 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 28729472 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1359296 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1367456 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13066880 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31336512 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 41006752 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46381440 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21329312 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 29712480 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1294976 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1295968 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3243904 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1294016 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394272 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 85473056 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749088 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67456 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 72035648 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1298368 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1670368 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1481504 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2296416 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1460672 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2274080 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1447360 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2320480 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 77285312 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442816 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2396480 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2269152 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 104454784 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1470560 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2283104 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2266304 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1522080 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10213112160 35119488 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5444593888 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69865056 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69796448 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76670272 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55958048 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40567840 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1294528 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28942272 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 29183136 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 54416672 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 29075552 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 49537024 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 29681248 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51474528 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 29728864 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 52126688 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 29577792 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 48085216 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 13092032 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 36269472 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1371648 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12407200 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 26766560 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 34064384 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 30530848 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12382496 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26707680 0 0 0 0 0 0 0 
