kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68538 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68538 10447401 0 0 0 0 0 0 0 
_1.ptx 99 : 68538 484075 0 0 0 0 0 0 0 
_1.ptx 100 : 68538 693382 0 0 0 0 0 0 0 
_1.ptx 101 : 68538 756695 0 0 0 0 0 0 0 
_1.ptx 105 : 413878 274121036 3739776 0 0 204015 58340 0 0 
_1.ptx 106 : 413878 2905326 0 0 0 0 0 0 0 
_1.ptx 107 : 413878 4556939 0 0 0 0 0 0 0 
_1.ptx 108 : 413878 291731057 67840 0 0 412466 58340 0 0 
_1.ptx 109 : 413878 2490886 0 0 0 0 0 0 0 
_1.ptx 110 : 413878 3314841 0 0 0 0 0 0 0 
_1.ptx 111 : 413878 1401559 0 0 0 0 0 0 26761 
_1.ptx 113 : 180575 19085986 0 0 0 0 0 0 0 
_1.ptx 114 : 180575 1822116 0 0 0 0 0 0 0 
_1.ptx 115 : 180575 1990876 0 0 0 0 0 0 0 
_1.ptx 116 : 180575 84588901 51584 0 0 40095 40095 0 0 
_1.ptx 117 : 180575 1809376 0 0 0 0 0 0 0 
_1.ptx 118 : 180575 1812698 0 0 0 0 0 0 0 
_1.ptx 119 : 180575 1989052 0 0 0 0 0 0 0 
_1.ptx 120 : 180575 30792332 218624 0 0 180215 40095 0 0 
_1.ptx 122 : 180575 1086353 0 0 0 0 0 0 0 
_1.ptx 123 : 180575 1991227 0 0 0 0 0 0 0 
_1.ptx 124 : 180575 36178851 11712 0 0 180215 40095 0 0 
_1.ptx 126 : 180575 1086545 0 0 0 0 0 0 0 
_1.ptx 127 : 180575 28200139 0 0 0 0 0 0 0 
_1.ptx 128 : 180575 20152446 32 0 0 40095 40095 0 0 
_1.ptx 129 : 180575 92550906 90496 0 0 62978 40095 0 0 
_1.ptx 130 : 180575 80562907 0 0 0 62978 40095 0 0 
_1.ptx 131 : 180575 1989329 0 0 0 0 0 0 0 
_1.ptx 134 : 413878 4146105 0 0 0 0 0 0 0 
_1.ptx 135 : 413878 4151836 0 0 0 0 0 0 0 
_1.ptx 136 : 413878 3318869 0 0 0 0 0 0 0 
_1.ptx 137 : 413878 2075056 0 0 0 0 0 0 25845 
_1.ptx 141 : 524288 3266528 0 0 0 0 0 0 0 
_1.ptx 66 : 524288 3278816 0 0 0 0 0 0 0 
_1.ptx 67 : 524288 7928992 0 0 0 0 0 0 0 
_1.ptx 68 : 524288 3663040 0 0 0 0 0 0 0 
_1.ptx 69 : 524288 6163712 0 0 0 0 0 0 0 
_1.ptx 70 : 524288 12175392 128 0 0 0 0 0 0 
_1.ptx 71 : 524288 4323584 0 0 0 0 0 0 0 
_1.ptx 72 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 73 : 524288 4050432 0 0 0 0 0 0 0 
_1.ptx 74 : 524288 8708736 0 0 0 0 0 0 0 
_1.ptx 75 : 524288 5832032 0 0 0 0 0 0 0 
_1.ptx 76 : 524288 137035616 107776 0 0 16384 16384 0 0 
_1.ptx 77 : 524288 3226880 0 0 0 0 0 0 0 
_1.ptx 78 : 524288 4314240 0 0 0 0 0 0 0 
_1.ptx 79 : 524288 2922351 0 0 0 0 0 0 6298 
_1.ptx 81 : 68538 419260 0 0 0 0 0 0 0 
_1.ptx 82 : 68538 5359727 64 0 0 6298 6298 0 0 
_1.ptx 84 : 68538 4654626 0 0 0 0 0 0 0 
_1.ptx 85 : 68538 415933 0 0 0 0 0 0 0 
_1.ptx 86 : 68538 758660 0 0 0 0 0 0 0 
_1.ptx 87 : 68538 6150153 32 0 0 6298 6298 0 0 
_1.ptx 89 : 68538 5385973 0 0 0 0 0 0 0 
_1.ptx 90 : 68538 692560 0 0 0 0 0 0 0 
_1.ptx 91 : 68538 758359 0 0 0 0 0 0 0 
_1.ptx 92 : 68538 54393447 1396352 0 0 11037 6298 0 0 
_1.ptx 93 : 68538 480997 0 0 0 0 0 0 0 
_1.ptx 94 : 68538 19469014 6528 0 0 11037 6298 0 0 
_1.ptx 95 : 68538 756308 0 0 0 0 0 0 0 
_1.ptx 96 : 68538 550733 0 0 0 0 0 0 0 
