kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 396288 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 381216 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 385888 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 992064 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 378944 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 695520 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 474336 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 10783296 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 519200 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 7756224 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 411104 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 710144 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 426784 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 919712 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 461536 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 902016 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 449952 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 8452032 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 569312 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 7080704 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 691008 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 945120 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 7178112 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 693728 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 6912256 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 696544 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 7593376 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 693056 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 7310240 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 692576 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 4535629216 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 4518226528 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 4521205472 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 22152736 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 110013280 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 33361600 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 14322496 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 32931136 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 22252736 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12136352 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 22211648 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 12164192 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 22208512 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 33097632 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18151040 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 22189504 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 96898816 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 22170592 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 22158976 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 12150240 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 16194464 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 12191488 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 22166816 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 15712608 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 12551776 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 16230752 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 12427008 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 22131392 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 14314240 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 22293440 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 12481824 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 12488512 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19203488 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 22673312 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 12893696 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 12877472 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 18141088 0 0 0 0 0 0 0 
_1.ptx 138 : 2000000 12145920 0 0 0 0 0 0 0 
_1.ptx 139 : 2000000 22174848 0 0 0 0 0 0 0 
_1.ptx 140 : 2000000 33403872 0 0 0 0 0 0 0 
_1.ptx 141 : 2000000 12198144 0 0 0 0 0 0 0 
