kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3046514 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 590296 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 610935 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5570712 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5606817 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3777717 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4471525 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2668477 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 903713 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1101356 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1022980 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 887932 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1099505 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1001083 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1102345 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 891857 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1091267 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 441688 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 685806 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 508004 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 495455 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 789993 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 716653 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 311767 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 310692 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 310277 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 312016 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 301371 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 306303 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 296880 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 706500 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 707157 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 712196 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 723920 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 724375 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 725128 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 339719 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 446408 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 537545 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 128141 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 308014 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 305463 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 306972 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 298493 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 67697 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 219712 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220623 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 222833 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 224555 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 226054 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 184873 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 185389 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 639253 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 242338 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 241910 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 249558 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 735868 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 732719 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 751661 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 783446 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 618427 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 609544 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1871557 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 735328 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 737191 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 743407 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 719093 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 601041 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 597570 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 425716 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 538868 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 432426 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 489046 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 493733 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 502802 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 445209 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 724597 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 490078 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 910019 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 707240 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 608168 25376 0 0 0 0 0 0 
_1.ptx 921 : 62282 415324 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 713581 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 825776 50144 0 0 0 0 0 0 
_1.ptx 924 : 62282 409732 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 711006 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 1054740 25632 0 0 0 0 0 0 
_1.ptx 927 : 62282 407128 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 712947 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 1157428 19040 0 0 0 0 0 0 
_1.ptx 931 : 62282 408972 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 714389 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 419450 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 710951 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 419419 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 728219 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 755085 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 605904 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 597635 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2268678 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 775056 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 777014 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 819835 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 790155 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 603885 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 600813 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 443296 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 542409 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 37233 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 448336 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 356816 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 1038445 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 1045631 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 1022541 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 1024348 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1468935 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1892636 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1145642 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 434212 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 378225 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 479159 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 371953 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 362667 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 527510 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 641853 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3304614 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 371141 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 376171 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 486905 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 528953 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 435557 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 382451 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 757290 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 630120 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1942620 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1156963 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1960890 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1184157 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1953549 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1202530 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1973248 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1956086 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 1987426 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 1989062 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 1996605 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 1990215 0 0 0 0 0 0 0 
