kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 1974656 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2197920 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 2965184 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2736672 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 1976480 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1695872 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2162176 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2947808 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1941056 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1915008 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2776960 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 15377888 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2923040 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 13179712 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2938912 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1662080 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 1948704 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 962936096 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 943955584 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9539744 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10622272 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10648352 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10660704 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8517600 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 4832576 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1610656 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 16484480 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2914720 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2919968 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2143776 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1220288 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 410880 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4284672 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5439904 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3067714 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1527624 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1377401 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1575926 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2240516 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2358798 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2865802 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2981250 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2305547 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1579259 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2927221 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2250043 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 6169211 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 4942500 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 2982754 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 5525300 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 2989717 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 2995027 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 208864 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3036479 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 239808 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2273464 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 5358144 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 450560 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 277120 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 227136 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5081568 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 226368 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4454368 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 280672 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5567520 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 230624 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4004448 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 231520 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 464041 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 279072 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 216928 0 0 0 0 0 0 0 
_1.ptx 175 : 256 8342 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 217152 0 0 0 0 0 0 0 
_1.ptx 176 : 256 5013 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1917 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2680 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2897 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 1081312 0 0 0 0 0 0 0 
_1.ptx 180 : 256 10036 576 0 0 256 256 0 0 
_1.ptx 83 : 65536 551008 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 751552 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 748640 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 524000 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 553024 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 484992 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 215168 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 534848 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 768032 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 733856 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 218752 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 1027008 0 0 0 0 0 0 0 
_1.ptx 91 : 65536 1053696 0 0 0 0 0 0 0 
_1.ptx 92 : 65536 791808 0 0 0 0 0 0 0 
_1.ptx 96 : 262144 1985408 0 0 0 0 0 0 0 
