kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 112119584 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 27976896 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1236704 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1235712 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13088224 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 30646208 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40475072 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 45947296 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 20800512 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 28867680 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1295072 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1295168 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3246976 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1294368 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2395584 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 87467680 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749024 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67232 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 75045696 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1293536 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1671104 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1479360 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2293792 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1459552 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2273632 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1445376 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2316544 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 79598208 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442112 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2406304 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2267328 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 106058528 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1469728 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2291776 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2263936 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1508576 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10195935936 35119104 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5432043680 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69865632 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69796160 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76671648 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55956384 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40566560 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1293984 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 25942752 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 26025984 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 59571616 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 26193952 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 47242080 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 26854976 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 52560160 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 26936192 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 56656384 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 26630752 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 46673216 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12508224 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 34868032 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1253344 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 11886976 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 24806112 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 32410592 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 28895296 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 11849216 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 25792832 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33465792 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27246336 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 26314560 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26524928 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 27038400 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30576992 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 156091424 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 221172704 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 157148128 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 228041760 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 161597408 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 204318784 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 227920352 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 158002432 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 141111232 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 157040192 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5718344768 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 4948789504 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5585867808 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4867429728 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5544047808 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4813940064 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5397970880 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 884020842624 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5381911648 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3096785056 1152 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7957955776 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6740010080 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7715253184 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7642224064 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8162158240 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6197995104 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4905267744 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 151942592 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 176074240 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 93028178 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 57452531 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 58921893 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 218663968 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 174016448 0 0 0 0 0 0 0 
