kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68605 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68605 8777772 0 0 0 0 0 0 0 
_1.ptx 99 : 68605 484161 0 0 0 0 0 0 0 
_1.ptx 100 : 68605 693701 0 0 0 0 0 0 0 
_1.ptx 101 : 68605 757384 0 0 0 0 0 0 0 
_1.ptx 105 : 414447 293134825 13947776 0 0 204659 58321 0 0 
_1.ptx 106 : 414447 2909412 0 0 0 0 0 0 0 
_1.ptx 107 : 414447 4563858 0 0 0 0 0 0 0 
_1.ptx 108 : 414447 294986083 1853952 0 0 413033 58321 0 0 
_1.ptx 109 : 414447 2493725 0 0 0 0 0 0 0 
_1.ptx 110 : 414447 3319428 0 0 0 0 0 0 0 
_1.ptx 111 : 414447 1406397 0 0 0 0 0 0 26824 
_1.ptx 113 : 180335 18876992 0 0 0 0 0 0 0 
_1.ptx 114 : 180335 1819658 0 0 0 0 0 0 0 
_1.ptx 115 : 180335 1988073 0 0 0 0 0 0 0 
_1.ptx 116 : 180335 93912371 1862016 0 0 39997 39997 0 0 
_1.ptx 117 : 180335 1807066 0 0 0 0 0 0 0 
_1.ptx 118 : 180335 1810470 0 0 0 0 0 0 0 
_1.ptx 119 : 180335 1985960 0 0 0 0 0 0 0 
_1.ptx 120 : 180335 29788561 2755360 0 0 179963 39997 0 0 
_1.ptx 122 : 180335 1085033 0 0 0 0 0 0 0 
_1.ptx 123 : 180335 1988499 0 0 0 0 0 0 0 
_1.ptx 124 : 180335 34548746 719840 0 0 179963 39997 0 0 
_1.ptx 126 : 180335 1085107 0 0 0 0 0 0 0 
_1.ptx 127 : 180335 26719721 0 0 0 0 0 0 0 
_1.ptx 128 : 180335 20228885 288 0 0 39997 39997 0 0 
_1.ptx 129 : 180335 109394171 3977216 0 0 62928 39997 0 0 
_1.ptx 130 : 180335 96203075 13696 0 0 62928 39997 0 0 
_1.ptx 131 : 180335 1986781 0 0 0 0 0 0 0 
_1.ptx 134 : 414447 4151878 0 0 0 0 0 0 0 
_1.ptx 135 : 414447 4158005 0 0 0 0 0 0 0 
_1.ptx 136 : 414447 3323452 0 0 0 0 0 0 0 
_1.ptx 137 : 414447 2077966 0 0 0 0 0 0 25943 
_1.ptx 141 : 589824 3701216 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3714624 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 9107936 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4178592 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6967712 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 12131008 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4860800 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4590240 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 8576288 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6562592 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 134151872 156672 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3632416 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4873824 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3357898 0 0 0 0 0 0 6312 
_1.ptx 81 : 68605 420051 0 0 0 0 0 0 0 
_1.ptx 82 : 68605 5195828 7616 0 0 6312 6312 0 0 
_1.ptx 84 : 68605 4347150 0 0 0 0 0 0 0 
_1.ptx 85 : 68605 416286 0 0 0 0 0 0 0 
_1.ptx 86 : 68605 759725 0 0 0 0 0 0 0 
_1.ptx 87 : 68605 5835565 7232 0 0 6312 6312 0 0 
_1.ptx 89 : 68605 5036260 0 0 0 0 0 0 0 
_1.ptx 90 : 68605 693266 0 0 0 0 0 0 0 
_1.ptx 91 : 68605 760103 0 0 0 0 0 0 0 
_1.ptx 92 : 68605 44891680 1414272 0 0 11058 6312 0 0 
_1.ptx 93 : 68605 481980 0 0 0 0 0 0 0 
_1.ptx 94 : 68605 18455801 114432 0 0 11058 6312 0 0 
_1.ptx 95 : 68605 756666 0 0 0 0 0 0 0 
_1.ptx 96 : 68605 551423 0 0 0 0 0 0 0 
