kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 456864 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 430176 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 440576 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1949984 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 414848 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 723680 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 513312 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 6098560 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 552672 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 2344512 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 457280 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 906752 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 466944 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 2071584 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 491648 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 2056992 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 488032 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 2318400 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 595040 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 1994400 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 722016 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 2063392 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 2259264 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 724512 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 2179680 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 725536 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 2169248 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 721760 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 2294656 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 720896 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 1564186752 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 1554788704 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 1556363904 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 24927872 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 143169216 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 70509408 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15794496 0 0 0 0 0 0 0 
