kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2071968 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2259808 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3016320 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2818784 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2076704 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1807232 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2221504 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3003904 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2031296 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2008928 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2826528 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 5851552 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2971808 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4933408 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3002464 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1753824 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2037696 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 410704096 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 411705056 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9742016 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10920896 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10994080 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10992064 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8817824 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5139616 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1712832 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 6425632 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2961696 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2979072 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2222304 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1312576 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 434816 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4498688 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5561472 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3218286 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1585955 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1406911 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1613550 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2267625 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2389527 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2805351 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2966871 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2365506 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1665039 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2848515 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2293713 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 3981267 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3462981 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3015562 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3087713 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3028223 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3033503 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 213088 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3085540 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 242752 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2331258 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4812800 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 479968 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 279168 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 233024 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5283104 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 231904 0 0 0 0 0 0 0 
_1.ptx 170 : 655360 4651904 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 282304 0 0 0 0 0 0 0 
_1.ptx 171 : 655360 5728064 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 234240 0 0 0 0 0 0 0 
_1.ptx 172 : 655360 4188032 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 234368 0 0 0 0 0 0 0 
_1.ptx 173 : 65536 484766 0 0 0 0 0 0 256 
_1.ptx 76 : 32768 280352 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 219328 0 0 0 0 0 0 0 
_1.ptx 175 : 256 6085 0 256 256 0 0 0 0 
_1.ptx 78 : 32768 221280 0 0 0 0 0 0 0 
_1.ptx 176 : 256 3755 0 0 0 0 0 0 0 
_1.ptx 177 : 256 1953 0 0 0 0 0 0 0 
_1.ptx 178 : 256 2668 0 0 0 0 0 0 0 
_1.ptx 81 : 65536 0 0 0 0 0 0 0 0 
_1.ptx 179 : 256 2944 0 0 0 0 0 0 0 
_1.ptx 82 : 65536 663872 0 0 0 0 0 0 0 
_1.ptx 180 : 256 5001 480 0 0 256 256 0 0 
_1.ptx 83 : 65536 562848 0 0 0 0 0 0 0 
_1.ptx 84 : 65536 760096 0 0 0 0 0 0 0 
_1.ptx 182 : 65536 759776 0 0 0 0 0 0 0 
_1.ptx 85 : 65536 538752 0 0 0 0 0 0 0 
_1.ptx 183 : 65536 571712 0 0 0 0 0 0 0 
_1.ptx 86 : 65536 495232 0 0 0 0 0 0 0 
_1.ptx 184 : 65536 226720 0 0 0 0 0 0 0 
_1.ptx 87 : 65536 542912 0 0 0 0 0 0 0 
_1.ptx 88 : 65536 774848 0 0 0 0 0 0 0 
_1.ptx 89 : 65536 739616 0 0 0 0 0 0 0 
_1.ptx 187 : 32768 232480 0 0 0 0 0 0 0 
_1.ptx 90 : 65536 1022016 0 0 0 0 0 0 0 
