kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114971904 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29077152 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1318976 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1326432 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13004192 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31595520 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 41002624 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46622944 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21388992 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30051008 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1295680 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1295104 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3240320 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1294240 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394336 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 86444608 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1750496 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 67168 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 73419584 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1295328 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1670400 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1484256 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2301568 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1464416 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2276640 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1445376 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2317984 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 77289984 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1443008 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2397728 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2267840 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 105252832 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1469312 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2315520 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2265280 0 0 0 0 0 0 0 
