kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68758 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68758 8648381 0 0 0 0 0 0 0 
_1.ptx 99 : 68758 485424 0 0 0 0 0 0 0 
_1.ptx 100 : 68758 695169 0 0 0 0 0 0 0 
_1.ptx 101 : 68758 758633 0 0 0 0 0 0 0 
_1.ptx 105 : 415453 263532991 3748224 0 0 205038 58402 0 0 
_1.ptx 106 : 415453 2916394 0 0 0 0 0 0 0 
_1.ptx 107 : 415453 4574235 0 0 0 0 0 0 0 
_1.ptx 108 : 415453 292265619 69248 0 0 414066 58402 0 0 
_1.ptx 109 : 415453 2500267 0 0 0 0 0 0 0 
_1.ptx 110 : 415453 3327729 0 0 0 0 0 0 0 
_1.ptx 111 : 415453 1410903 0 0 0 0 0 0 26749 
_1.ptx 113 : 180614 19164763 0 0 0 0 0 0 0 
_1.ptx 114 : 180614 1822098 0 0 0 0 0 0 0 
_1.ptx 115 : 180614 1991403 0 0 0 0 0 0 0 
_1.ptx 116 : 180614 84643285 50816 0 0 40027 40027 0 0 
_1.ptx 117 : 180614 1809694 0 0 0 0 0 0 0 
_1.ptx 118 : 180614 1813750 0 0 0 0 0 0 0 
_1.ptx 119 : 180614 1989395 0 0 0 0 0 0 0 
_1.ptx 120 : 180614 30986517 222880 0 0 180268 40027 0 0 
_1.ptx 122 : 180614 1086746 0 0 0 0 0 0 0 
_1.ptx 123 : 180614 1992106 0 0 0 0 0 0 0 
_1.ptx 124 : 180614 36513187 13504 0 0 180268 40027 0 0 
_1.ptx 126 : 180614 1086461 0 0 0 0 0 0 0 
_1.ptx 127 : 180614 28182341 0 0 0 0 0 0 0 
_1.ptx 128 : 180614 20418288 32 0 0 40027 40027 0 0 
_1.ptx 129 : 180614 92725153 90880 0 0 62873 40027 0 0 
_1.ptx 130 : 180614 80456839 384 0 0 62873 40027 0 0 
_1.ptx 131 : 180614 1989981 0 0 0 0 0 0 0 
_1.ptx 134 : 415453 4162394 0 0 0 0 0 0 0 
_1.ptx 135 : 415453 4168748 0 0 0 0 0 0 0 
_1.ptx 136 : 415453 3331782 0 0 0 0 0 0 0 
_1.ptx 137 : 415453 2083450 0 0 0 0 0 0 25909 
_1.ptx 141 : 524288 3262496 0 0 0 0 0 0 0 
_1.ptx 66 : 524288 3277184 0 0 0 0 0 0 0 
_1.ptx 67 : 524288 8136128 0 0 0 0 0 0 0 
_1.ptx 68 : 524288 3692704 0 0 0 0 0 0 0 
_1.ptx 69 : 524288 6178144 0 0 0 0 0 0 0 
_1.ptx 70 : 524288 11986464 128 0 0 0 0 0 0 
_1.ptx 71 : 524288 4324032 0 0 0 0 0 0 0 
_1.ptx 72 : 524288 0 0 0 0 0 0 0 0 
_1.ptx 73 : 524288 4061152 0 0 0 0 0 0 0 
_1.ptx 74 : 524288 8670080 0 0 0 0 0 0 0 
_1.ptx 75 : 524288 5831488 0 0 0 0 0 0 0 
_1.ptx 76 : 524288 125337856 108672 0 0 16384 16384 0 0 
_1.ptx 77 : 524288 3228992 0 0 0 0 0 0 0 
_1.ptx 78 : 524288 4320672 0 0 0 0 0 0 0 
_1.ptx 79 : 524288 2930007 0 0 0 0 0 0 6327 
_1.ptx 81 : 68758 421084 0 0 0 0 0 0 0 
_1.ptx 82 : 68758 5144301 64 0 0 6327 6327 0 0 
_1.ptx 84 : 68758 4616690 0 0 0 0 0 0 0 
_1.ptx 85 : 68758 417554 0 0 0 0 0 0 0 
_1.ptx 86 : 68758 761601 0 0 0 0 0 0 0 
_1.ptx 87 : 68758 5705511 96 0 0 6327 6327 0 0 
_1.ptx 89 : 68758 4874197 0 0 0 0 0 0 0 
_1.ptx 90 : 68758 695134 0 0 0 0 0 0 0 
_1.ptx 91 : 68758 761225 0 0 0 0 0 0 0 
_1.ptx 92 : 68758 47297581 1400320 0 0 11066 6327 0 0 
_1.ptx 93 : 68758 482998 0 0 0 0 0 0 0 
_1.ptx 94 : 68758 17664572 7040 0 0 11066 6327 0 0 
_1.ptx 95 : 68758 758233 0 0 0 0 0 0 0 
_1.ptx 96 : 68758 552691 0 0 0 0 0 0 0 
