kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 418720 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 399488 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 406880 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1236256 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 389504 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 704448 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 486240 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 7801536 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 533792 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 4334624 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 427584 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 749056 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 441888 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1220704 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 477408 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1202368 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 464480 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 4255520 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 582944 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 3613024 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 701632 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1226368 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 3881344 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 706592 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 3649024 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 707552 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 3795488 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 704352 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 4073216 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 704960 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 2489879360 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 2475815744 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 2478284576 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 22521760 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 116439936 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 41328896 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 14735712 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 42115360 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 22590240 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12445696 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 22610976 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 12567552 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 22522112 0 0 0 0 0 0 0 
