kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3043657 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 594320 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 611535 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5578184 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5619945 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3776929 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4477845 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2671559 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 908031 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1104247 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1023889 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 895227 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1100571 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1006965 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1104582 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 890060 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1090571 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 444804 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 680850 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 505338 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 491415 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 773013 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 714845 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 309380 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 309341 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 307820 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 305788 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 298762 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 300333 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 291353 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 705969 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 708607 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 710609 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 721210 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 726357 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 723992 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 330328 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 442047 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 537757 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 127919 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 305113 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 301866 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 306288 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 295984 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 82753 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 220646 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220010 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223237 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 226541 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 228910 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 183981 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 185705 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 620954 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 242155 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 243683 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 239211 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 732606 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 731121 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 749654 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 770577 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 616758 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 606778 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 1912681 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 736434 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 729375 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 734509 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 717771 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 600156 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 599670 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 433564 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 541736 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 434452 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 488086 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 493297 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 500353 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 443273 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 718219 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 484155 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 896105 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 709301 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 589230 22912 0 0 0 0 0 0 
_1.ptx 921 : 62282 415224 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 715510 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 795555 47936 0 0 0 0 0 0 
_1.ptx 924 : 62282 412687 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 714829 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 1042163 26336 0 0 0 0 0 0 
_1.ptx 927 : 62282 408478 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 715236 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 1083402 19776 0 0 0 0 0 0 
_1.ptx 931 : 62282 409733 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 714671 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 422693 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 713927 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 419590 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 727063 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 742621 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 604514 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 596081 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2267035 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 760922 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 764067 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 781840 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 788348 0 0 0 0 0 0 0 
