kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2043296 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2238688 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3002624 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2792608 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2047968 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1775904 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2205280 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 2987424 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 1997568 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 1980224 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2809120 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 7737856 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2951296 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 6132992 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 2982848 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1721024 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2010688 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 489365312 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 483730112 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9658784 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10807616 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10861472 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10871680 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8701600 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5021152 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1674880 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 8042240 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2945536 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2957888 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2191200 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1278944 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 428032 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4448736 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5544992 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3189985 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1576708 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1403107 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1607491 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2267150 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2385964 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2764806 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2923401 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2353827 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1654337 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2812698 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2284045 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 4554020 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3827059 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3014180 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 3867193 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3022733 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3027089 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 212224 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3077612 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 241920 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2322283 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4888128 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 478368 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 278464 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 231680 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5250144 0 0 0 0 0 0 0 
