kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 113265280 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 28571488 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1260512 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1263648 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13085792 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31096352 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40688384 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46304640 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21074496 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 29455232 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1294144 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1294944 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3244128 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1293664 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2394304 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 84995328 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1749248 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 68512 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 71862688 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1294272 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1672192 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1482240 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2299584 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1462272 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2276288 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1445984 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2315232 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 77999840 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1441248 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2405664 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2269504 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 105515520 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1467904 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2298848 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2264800 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1520960 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 10189408064 35354880 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 5433828416 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69867968 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69798176 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76671104 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55955008 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40568640 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1294304 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 26866144 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 26984352 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 57920576 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 27028384 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 47871936 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 27620384 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 52222304 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 27664192 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 55170912 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 27380032 0 0 0 0 0 0 0 
_1.ptx 135 : 4090624 47061312 0 0 0 0 0 0 0 
_1.ptx 136 : 4090624 12675584 0 0 0 0 0 0 0 
_1.ptx 137 : 4090624 35234080 0 0 0 0 0 0 0 
_1.ptx 138 : 4090624 1276512 0 0 0 0 0 0 0 
_1.ptx 139 : 3891200 12040640 0 0 0 0 0 0 0 
_1.ptx 140 : 3891200 25351776 0 0 0 0 0 0 0 
_1.ptx 141 : 3891200 32933952 0 0 0 0 0 0 0 
_1.ptx 142 : 3891200 0 0 0 0 0 0 0 0 
_1.ptx 143 : 3891200 29415520 0 0 0 0 0 0 0 
_1.ptx 144 : 3891200 12010848 0 0 0 0 0 0 0 
_1.ptx 145 : 3891200 26001312 0 0 0 0 0 0 0 
_1.ptx 146 : 3891200 33585280 0 0 0 0 0 0 0 
_1.ptx 147 : 3891200 27156544 0 0 0 0 0 0 0 
_1.ptx 148 : 3891200 26733760 0 0 0 0 0 0 0 
_1.ptx 149 : 3891200 26608064 0 0 0 0 0 0 0 
_1.ptx 150 : 3891200 26951968 0 0 0 0 0 0 0 
_1.ptx 151 : 3891200 30624288 0 0 0 0 0 0 0 
_1.ptx 154 : 19456000 0 0 0 0 0 0 0 0 
_1.ptx 155 : 19456000 157495552 0 0 0 0 0 0 0 
_1.ptx 156 : 19456000 221287584 0 0 0 0 0 0 0 
_1.ptx 157 : 19456000 158835616 0 0 0 0 0 0 0 
_1.ptx 158 : 19456000 229106816 0 0 0 0 0 0 0 
_1.ptx 159 : 19456000 163740864 0 0 0 0 0 0 0 
_1.ptx 160 : 19456000 204686304 0 0 0 0 0 0 0 
_1.ptx 161 : 19456000 229800256 0 0 0 0 0 0 0 
_1.ptx 162 : 19456000 160505504 0 0 0 0 0 0 0 
_1.ptx 163 : 19456000 143377120 0 0 0 0 0 0 0 
_1.ptx 164 : 19456000 158676224 0 0 0 0 0 0 0 
_1.ptx 168 : 661504000 5750983360 0 0 0 0 0 0 0 
_1.ptx 169 : 661504000 4984624896 0 0 0 0 0 0 0 
_1.ptx 170 : 661504000 5620168352 0 0 0 0 0 0 0 
_1.ptx 171 : 661504000 4910046816 0 0 0 0 0 0 0 
_1.ptx 172 : 661504000 5586371712 0 0 0 0 0 0 0 
_1.ptx 173 : 661504000 4863306208 0 0 0 0 0 0 0 
_1.ptx 174 : 661504000 5446772224 0 0 0 0 0 0 0 
_1.ptx 175 : 661504000 408671753760 2646016000 0 0 0 0 0 0 
_1.ptx 176 : 661504000 5429592576 0 0 0 0 0 0 0 
_1.ptx 178 : 661504000 3080950784 1152 0 0 0 0 0 0 
_1.ptx 179 : 661504000 7982145504 0 0 0 0 0 0 0 
_1.ptx 180 : 661504000 6756442496 0 0 0 0 0 0 0 
_1.ptx 181 : 661504000 7726943712 0 0 0 0 0 0 0 
_1.ptx 182 : 661504000 7664297536 0 0 0 0 0 0 0 
_1.ptx 183 : 661504000 8185445792 0 0 0 0 0 0 0 
_1.ptx 184 : 661504000 6216141760 0 0 0 0 0 0 0 
_1.ptx 185 : 661504000 4933644320 0 0 0 0 0 0 0 
_1.ptx 186 : 19456000 152699008 0 0 0 0 0 0 0 
_1.ptx 190 : 19456000 176788032 0 0 0 0 0 0 0 
_1.ptx 191 : 19456000 93843430 0 0 0 0 0 0 10162 
_1.ptx 193 : 6990785 57754105 0 0 0 0 0 0 0 
_1.ptx 195 : 6990785 59329480 0 0 0 0 0 0 0 
_1.ptx 197 : 19456000 219983648 0 0 0 0 0 0 0 
_1.ptx 198 : 19456000 175555776 0 0 0 0 0 0 0 
