kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 200 : 61440 447968 0 0 0 0 0 0 0 
_1.ptx 68 : 61440 405888 0 0 0 0 0 0 0 
_1.ptx 69 : 61440 412096 0 0 0 0 0 0 0 
_1.ptx 70 : 61440 1124416 0 0 0 0 0 0 0 
_1.ptx 71 : 61440 395456 0 0 0 0 0 0 0 
_1.ptx 72 : 61440 706688 0 0 0 0 0 0 0 
_1.ptx 73 : 61440 488896 0 0 0 0 0 0 0 
_1.ptx 74 : 61440 9747360 128 0 0 0 0 0 0 
_1.ptx 75 : 61440 543616 0 0 0 0 0 0 0 
_1.ptx 76 : 61440 0 0 0 0 0 0 0 0 
_1.ptx 77 : 61440 6518752 0 0 0 0 0 0 0 
_1.ptx 78 : 61440 448000 0 0 0 0 0 0 0 
_1.ptx 79 : 61440 762016 0 0 0 0 0 0 0 
_1.ptx 80 : 61440 452000 0 0 0 0 0 0 0 
_1.ptx 81 : 61440 1176352 0 0 0 0 0 0 0 
_1.ptx 82 : 61440 470688 0 0 0 0 0 0 0 
_1.ptx 83 : 61440 1159872 0 0 0 0 0 0 0 
_1.ptx 84 : 61440 454528 0 0 0 0 0 0 0 
_1.ptx 85 : 61440 7042464 0 0 0 0 0 0 0 
_1.ptx 86 : 61440 589312 0 0 0 0 0 0 0 
_1.ptx 87 : 61440 6145824 0 0 0 0 0 0 0 
_1.ptx 88 : 61440 709344 0 0 0 0 0 0 0 
_1.ptx 89 : 61440 1244544 0 0 0 0 0 0 0 
_1.ptx 90 : 61440 7951520 0 0 0 0 0 0 0 
_1.ptx 91 : 61440 711616 0 0 0 0 0 0 0 
_1.ptx 92 : 61440 7413120 0 0 0 0 0 0 0 
_1.ptx 93 : 61440 713792 0 0 0 0 0 0 0 
_1.ptx 94 : 61440 7513664 0 0 0 0 0 0 0 
_1.ptx 95 : 61440 712096 0 0 0 0 0 0 0 
_1.ptx 96 : 61440 7949312 0 0 0 0 0 0 0 
_1.ptx 97 : 61440 717376 0 0 0 0 0 0 0 
_1.ptx 101 : 2000000 909071424 8000000 0 0 62500 62500 0 0 
_1.ptx 102 : 2000000 923316992 8000000 0 0 62500 62500 0 0 
_1.ptx 103 : 2000000 950574752 8000000 0 0 62500 62500 0 0 
_1.ptx 104 : 2000000 22773824 0 0 0 0 0 0 0 
_1.ptx 105 : 2000000 112196000 0 0 0 0 0 0 0 
_1.ptx 106 : 2000000 38930432 0 0 0 0 0 0 0 
_1.ptx 107 : 2000000 15249440 0 0 0 0 0 0 0 
_1.ptx 108 : 2000000 34585504 0 0 0 0 0 0 0 
_1.ptx 109 : 2000000 22545056 0 0 0 0 0 0 0 
_1.ptx 110 : 2000000 12480384 0 0 0 0 0 0 0 
_1.ptx 111 : 2000000 22474720 0 0 0 0 0 0 0 
_1.ptx 112 : 2000000 12457216 0 0 0 0 0 0 0 
_1.ptx 113 : 2000000 22337856 0 0 0 0 0 0 0 
_1.ptx 114 : 2000000 34148576 0 0 0 0 0 0 0 
_1.ptx 115 : 2000000 18234528 0 0 0 0 0 0 0 
_1.ptx 116 : 2000000 22241632 0 0 0 0 0 0 0 
_1.ptx 117 : 2000000 97401920 0 0 0 0 0 0 0 
_1.ptx 118 : 2000000 22187232 0 0 0 0 0 0 0 
_1.ptx 119 : 2000000 22142368 0 0 0 0 0 0 0 
_1.ptx 120 : 2000000 12112864 0 0 0 0 0 0 0 
_1.ptx 121 : 2000000 16179488 0 0 0 0 0 0 0 
_1.ptx 122 : 2000000 12197824 0 0 0 0 0 0 0 
_1.ptx 123 : 2000000 22173184 0 0 0 0 0 0 0 
_1.ptx 124 : 2000000 15701952 0 0 0 0 0 0 0 
_1.ptx 125 : 2000000 12564288 0 0 0 0 0 0 0 
_1.ptx 126 : 2000000 16235904 0 0 0 0 0 0 0 
_1.ptx 127 : 2000000 12448448 0 0 0 0 0 0 0 
_1.ptx 128 : 2000000 22162656 0 0 0 0 0 0 0 
_1.ptx 129 : 2000000 14361888 0 0 0 0 0 0 0 
_1.ptx 130 : 2000000 22370848 0 0 0 0 0 0 0 
_1.ptx 131 : 2000000 12619008 0 0 0 0 0 0 0 
_1.ptx 132 : 2000000 12601696 0 0 0 0 0 0 0 
_1.ptx 133 : 2000000 19166240 0 0 0 0 0 0 0 
_1.ptx 134 : 2000000 22735392 0 0 0 0 0 0 0 
_1.ptx 135 : 2000000 12976064 0 0 0 0 0 0 0 
_1.ptx 136 : 2000000 12976544 0 0 0 0 0 0 0 
_1.ptx 137 : 2000000 18180320 0 0 0 0 0 0 0 
_1.ptx 138 : 2000000 12180416 0 0 0 0 0 0 0 
_1.ptx 139 : 2000000 22259712 0 0 0 0 0 0 0 
_1.ptx 140 : 2000000 39551552 0 0 0 0 0 0 0 
_1.ptx 141 : 2000000 12300832 0 0 0 0 0 0 0 
_1.ptx 142 : 2000000 22281184 0 0 0 0 0 0 0 
_1.ptx 143 : 2000000 50127200 0 0 0 0 0 0 0 
_1.ptx 144 : 2000000 54787648 0 0 0 0 0 0 0 
_1.ptx 145 : 2000000 12391776 0 0 0 0 0 0 0 
_1.ptx 146 : 2000000 12433056 0 0 0 0 0 0 0 
_1.ptx 147 : 2000000 18281536 0 0 0 0 0 0 0 
_1.ptx 148 : 2000000 61929312 0 0 0 0 0 0 0 
_1.ptx 149 : 2000000 12589152 0 0 0 0 0 0 0 
_1.ptx 150 : 2000000 12542688 0 0 0 0 0 0 0 
_1.ptx 151 : 2000000 18277664 0 0 0 0 0 0 0 
_1.ptx 152 : 2000000 12345920 0 0 0 0 0 0 0 
_1.ptx 153 : 2000000 22453248 0 0 0 0 0 0 0 
_1.ptx 154 : 2000000 12376864 0 0 0 0 0 0 0 
_1.ptx 155 : 2000000 18273376 0 0 0 0 0 0 0 
_1.ptx 156 : 2000000 12345632 0 0 0 0 0 0 0 
_1.ptx 157 : 2000000 22465312 0 0 0 0 0 0 0 
_1.ptx 158 : 2000000 12405920 0 0 0 0 0 0 0 
_1.ptx 159 : 2000000 18321248 0 0 0 0 0 0 0 
_1.ptx 160 : 2000000 12411616 0 0 0 0 0 0 0 
_1.ptx 161 : 2000000 18314336 0 0 0 0 0 0 0 
_1.ptx 162 : 2000000 12456896 0 0 0 0 0 0 0 
_1.ptx 163 : 2000000 18404576 0 0 0 0 0 0 0 
_1.ptx 164 : 2000000 12454176 0 0 0 0 0 0 0 
_1.ptx 165 : 2000000 18350240 0 0 0 0 0 0 0 
_1.ptx 166 : 2000000 12486336 0 0 0 0 0 0 0 
_1.ptx 167 : 2000000 18388032 0 0 0 0 0 0 0 
_1.ptx 168 : 2000000 22665600 0 0 0 0 0 0 0 
_1.ptx 169 : 2000000 22461984 0 0 0 0 0 0 0 
_1.ptx 170 : 2000000 22529888 0 0 0 0 0 0 0 
_1.ptx 171 : 2000000 22572000 0 0 0 0 0 0 0 
_1.ptx 172 : 2000000 12604064 0 0 0 0 0 0 0 
_1.ptx 173 : 2000000 22481600 0 0 0 0 0 0 0 
_1.ptx 174 : 2000000 12570528 0 0 0 0 0 0 0 
_1.ptx 175 : 2000000 22369088 0 0 0 0 0 0 0 
_1.ptx 176 : 2000000 18423424 0 0 0 0 0 0 0 
_1.ptx 177 : 2000000 18343968 0 0 0 0 0 0 0 
_1.ptx 178 : 2000000 22380896 0 0 0 0 0 0 0 
_1.ptx 179 : 2000000 22413408 0 0 0 0 0 0 0 
_1.ptx 180 : 2000000 22288288 0 0 0 0 0 0 0 
_1.ptx 181 : 2000000 274249824 8000000 0 0 62500 62500 0 0 
_1.ptx 182 : 2000000 12983808 0 0 0 0 0 0 0 
_1.ptx 183 : 2000000 23091552 0 0 0 0 0 0 0 
_1.ptx 184 : 2000000 23295264 0 0 0 0 0 0 0 
_1.ptx 185 : 2000000 13768320 0 0 0 0 0 0 0 
_1.ptx 186 : 2000000 22589088 0 0 0 0 0 0 0 
_1.ptx 187 : 2000000 22444512 0 0 0 0 0 0 0 
_1.ptx 188 : 2000000 22326240 0 0 0 0 0 0 0 
_1.ptx 189 : 2000000 257783168 8000000 0 0 62500 62500 0 0 
_1.ptx 190 : 2000000 22642528 0 0 0 0 0 0 0 
_1.ptx 191 : 2000000 22961504 0 0 0 0 0 0 0 
_1.ptx 192 : 2000000 23244992 0 0 0 0 0 0 0 
_1.ptx 193 : 2000000 23683680 0 0 0 0 0 0 0 
_1.ptx 194 : 2000000 24309664 0 0 0 0 0 0 0 
_1.ptx 195 : 2000000 24076864 0 0 0 0 0 0 0 
_1.ptx 196 : 2000000 18691872 0 0 0 0 0 0 0 
_1.ptx 197 : 2000000 13457152 0 0 0 0 0 0 0 
