kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 6553600 53842816 0 0 0 0 0 0 0 
_1.ptx 98 : 6553600 74744224 0 0 0 0 0 0 0 
_1.ptx 99 : 6553600 74857760 0 0 0 0 0 0 0 
_1.ptx 100 : 6553600 86891232 0 0 0 0 0 0 0 
_1.ptx 101 : 6553600 86981120 0 0 0 0 0 0 0 
_1.ptx 102 : 6553600 550982240 0 0 0 0 0 0 0 
_1.ptx 103 : 6553600 86149472 0 0 0 0 0 0 0 
_1.ptx 105 : 6553600 74278560 0 0 0 0 0 0 0 
_1.ptx 106 : 6553600 86216256 0 0 0 0 0 0 0 
_1.ptx 107 : 6553600 552343104 0 0 0 0 0 0 0 
_1.ptx 108 : 6553600 86328640 0 0 0 0 0 0 0 
_1.ptx 109 : 6553600 68613472 0 0 0 0 0 0 0 
_1.ptx 110 : 6553600 68843744 0 0 0 0 0 0 0 
_1.ptx 112 : 6553600 22330880 0 0 0 0 0 0 0 
_1.ptx 114 : 6553600 56448928 0 0 0 0 0 0 0 
_1.ptx 115 : 6553600 44434912 0 0 0 0 0 0 0 
_1.ptx 116 : 32768 230496 0 0 0 0 0 0 0 
_1.ptx 127 : 32768 218976 0 0 0 0 0 0 0 
_1.ptx 128 : 32768 279808 0 0 0 0 0 0 0 
_1.ptx 129 : 32768 2287904 0 0 0 0 0 0 0 
_1.ptx 130 : 32768 2245792 0 0 0 0 0 0 0 
_1.ptx 131 : 32768 163712 0 0 0 0 0 0 0 
_1.ptx 132 : 32768 368544 0 0 0 0 0 0 0 
_1.ptx 133 : 32768 252896 0 0 0 0 0 0 0 
_1.ptx 134 : 32768 2236416 0 0 0 0 0 0 0 
_1.ptx 135 : 32768 368992 0 0 0 0 0 0 0 
_1.ptx 136 : 32768 10387360 262144 0 0 2048 1024 0 0 
_1.ptx 137 : 32768 369792 0 0 0 0 0 0 0 
_1.ptx 138 : 32768 1045312 0 0 0 2048 1024 0 0 
_1.ptx 140 : 32768 6062656 0 0 0 2048 1024 0 0 
_1.ptx 141 : 32768 372192 0 0 0 0 0 0 0 
_1.ptx 142 : 32768 551264 0 0 0 2048 1024 0 0 
_1.ptx 144 : 32768 214528 0 0 0 0 0 0 0 
_1.ptx 62 : 32768 223168 0 0 0 0 0 0 0 
_1.ptx 63 : 32768 228352 0 0 0 0 0 0 0 
_1.ptx 64 : 32768 229536 0 0 0 0 0 0 0 
_1.ptx 65 : 32768 235712 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 232032 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 236800 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4127616 128 0 0 0 0 0 0 
_1.ptx 69 : 32768 228064 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 287936 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 103968 0 0 0 0 0 0 0 
_1.ptx 73 : 32768 258304 0 0 0 0 0 0 0 
_1.ptx 74 : 32768 283904 0 0 0 0 0 0 0 
_1.ptx 75 : 32768 288096 0 0 0 0 0 0 0 
_1.ptx 76 : 32768 104128 0 0 0 0 0 0 0 
_1.ptx 77 : 32768 226400 0 0 0 0 0 0 0 
_1.ptx 78 : 32768 377952 0 0 0 0 0 0 0 
_1.ptx 79 : 32768 1811648 0 0 0 0 0 0 0 
_1.ptx 80 : 32768 380832 0 0 0 0 0 0 0 
_1.ptx 81 : 32768 380160 0 0 0 0 0 0 0 
_1.ptx 82 : 32768 290784 0 0 0 0 0 0 0 
_1.ptx 83 : 32768 263840 0 0 0 0 0 0 0 
_1.ptx 84 : 32768 281824 0 0 0 0 0 0 0 
_1.ptx 85 : 32768 398496 0 0 0 0 0 0 0 
_1.ptx 86 : 32768 393696 0 0 0 0 0 0 0 
_1.ptx 87 : 32768 246528 0 0 0 0 0 0 0 
_1.ptx 88 : 32768 253440 0 0 0 0 0 0 0 
_1.ptx 89 : 32768 260640 0 0 0 0 0 0 0 
_1.ptx 90 : 32768 278560 0 0 0 0 0 0 0 
_1.ptx 94 : 6553600 55742720 3200 0 0 0 0 0 0 
_1.ptx 95 : 6553600 55813856 0 0 0 0 0 0 0 
_1.ptx 96 : 6553600 55116480 0 0 0 0 0 0 0 
