kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 70 : 12800 77280 0 0 0 0 0 0 0 
_1.ptx 71 : 12800 245440 0 0 0 0 0 0 0 
_1.ptx 72 : 12800 94400 0 0 0 0 0 0 0 
_1.ptx 73 : 12800 157088 0 0 0 0 0 0 0 
_1.ptx 74 : 12800 107424 0 0 0 0 0 0 0 
_1.ptx 75 : 12800 111488 0 0 0 0 0 0 0 
_1.ptx 76 : 12800 93344 0 0 0 0 0 0 0 
_1.ptx 77 : 12800 1921568 128 0 0 0 0 0 0 
_1.ptx 78 : 12800 1392960 0 0 0 0 0 0 0 
_1.ptx 79 : 12800 1360512 0 0 0 0 0 0 0 
_1.ptx 80 : 12800 79328 0 0 0 0 0 0 0 
_1.ptx 81 : 12800 78848 0 0 0 0 0 0 0 
_1.ptx 82 : 12800 32424 0 0 0 0 0 0 100 
_1.ptx 83 : 7600 49584 0 0 0 0 0 0 0 
_1.ptx 84 : 7600 49464 0 0 0 0 0 0 0 
_1.ptx 85 : 7600 63124 0 0 0 0 0 0 0 
_1.ptx 86 : 7600 8256 0 0 0 0 0 0 0 
_1.ptx 88 : 6400 48224 0 0 0 0 0 0 0 
_1.ptx 90 : 6400 75264 0 0 0 0 0 0 0 
_1.ptx 91 : 6400 69120 0 0 0 0 0 0 0 
_1.ptx 92 : 6400 48384 0 0 0 0 0 0 0 
_1.ptx 95 : 1200 9996 0 0 0 0 0 0 0 
_1.ptx 96 : 1200 9312 0 0 0 0 0 0 0 
_1.ptx 97 : 1200 9768 0 0 0 0 0 0 0 
_1.ptx 98 : 1200 13344 0 0 0 0 0 0 0 
_1.ptx 99 : 1200 8592 0 0 0 0 0 0 0 
_1.ptx 100 : 1200 12588 0 0 0 0 0 0 0 
_1.ptx 101 : 1200 13236 0 0 0 0 0 0 0 
_1.ptx 102 : 1200 12432 0 0 0 0 0 0 0 
_1.ptx 103 : 1200 12012 0 0 0 0 0 0 0 
_1.ptx 105 : 1200 8496 0 0 0 0 0 0 0 
_1.ptx 106 : 1200 7644 0 0 0 0 0 0 0 
_1.ptx 107 : 1200 9600 0 0 0 0 0 0 0 
_1.ptx 108 : 1200 14688 0 0 0 0 0 0 0 
_1.ptx 109 : 1200 11244 0 0 0 0 0 0 0 
_1.ptx 110 : 1200 14496 0 0 0 0 0 0 0 
_1.ptx 113 : 7600 87720 0 0 0 0 0 0 0 
_1.ptx 114 : 7600 58848 0 0 0 0 0 0 0 
_1.ptx 115 : 7600 71252 0 0 0 0 0 0 0 
_1.ptx 116 : 7600 94612 0 0 0 0 0 0 0 
_1.ptx 117 : 7600 92212 0 0 0 0 0 0 0 
_1.ptx 118 : 7600 71128 0 0 0 0 0 0 0 
_1.ptx 120 : 7600 62308 0 0 0 0 0 0 0 
_1.ptx 121 : 7600 70900 0 0 0 0 0 0 0 
_1.ptx 122 : 7600 93592 0 0 0 0 0 0 0 
_1.ptx 124 : 7600 57528 0 0 0 0 0 0 0 
_1.ptx 125 : 7600 70052 0 0 0 0 0 0 0 
_1.ptx 126 : 7600 91352 0 0 0 0 0 0 0 
_1.ptx 128 : 7600 62788 0 0 0 0 0 0 0 
_1.ptx 129 : 7600 86772 0 0 0 0 0 0 0 
_1.ptx 130 : 7600 66180 0 0 0 0 0 0 0 
_1.ptx 132 : 7600 57136 0 0 0 0 0 0 0 
_1.ptx 133 : 7600 65156 0 0 0 0 0 0 0 
_1.ptx 134 : 7600 61088 0 0 0 0 0 0 0 
_1.ptx 135 : 7600 64356 0 0 0 0 0 0 0 
_1.ptx 136 : 7600 60748 0 0 0 0 0 0 0 
_1.ptx 137 : 7600 65428 0 0 0 0 0 0 0 
_1.ptx 138 : 7600 51884 0 0 0 0 0 0 0 
_1.ptx 139 : 7600 64764 0 0 0 0 0 0 0 
_1.ptx 140 : 7600 60128 0 0 0 0 0 0 0 
_1.ptx 141 : 7600 65104 0 0 0 0 0 0 0 
_1.ptx 142 : 7600 61060 0 0 0 0 0 0 0 
_1.ptx 143 : 7600 65788 0 0 0 0 0 0 0 
_1.ptx 144 : 7600 66840 0 0 0 0 0 0 0 
_1.ptx 145 : 7600 54068 0 0 0 0 0 0 0 
_1.ptx 147 : 5200 32408 0 0 0 0 0 0 0 
_1.ptx 148 : 5200 43412 0 0 0 0 0 0 0 
_1.ptx 149 : 5200 32372 0 0 0 0 0 0 0 
_1.ptx 150 : 5200 43180 0 0 0 0 0 0 0 
_1.ptx 151 : 5200 33464 0 0 0 0 0 0 0 
_1.ptx 154 : 12800 150848 0 0 0 0 0 0 0 
_1.ptx 155 : 12800 89856 0 0 0 0 0 0 0 
_1.ptx 156 : 12800 149920 0 0 0 0 0 0 0 
_1.ptx 157 : 12800 112864 0 0 0 0 0 0 0 
_1.ptx 158 : 12800 148576 0 0 0 0 0 0 0 
_1.ptx 159 : 12800 112288 0 0 0 0 0 0 0 
_1.ptx 160 : 12800 111872 0 0 0 0 0 0 0 
_1.ptx 161 : 12800 102560 0 0 0 0 0 0 0 
_1.ptx 162 : 12800 101696 0 0 0 0 0 0 0 
_1.ptx 163 : 12800 110464 0 0 0 0 0 0 0 
_1.ptx 164 : 12800 88160 0 0 0 0 0 0 0 
_1.ptx 165 : 12800 109152 0 0 0 0 0 0 0 
_1.ptx 166 : 12800 18788 0 0 0 0 0 0 100 
_1.ptx 168 : 10000 68124 0 0 0 0 0 0 0 
_1.ptx 169 : 10000 274424 0 0 0 0 0 0 0 
_1.ptx 170 : 10000 75480 0 0 0 0 0 0 0 
_1.ptx 171 : 10000 105408 0 0 0 0 0 0 0 
_1.ptx 172 : 10000 114828 0 0 0 0 0 0 0 
_1.ptx 173 : 10000 3417904 39424 0 0 661 400 0 0 
_1.ptx 174 : 10000 107312 0 0 0 0 0 0 0 
_1.ptx 175 : 10000 73172 0 0 0 0 0 0 0 
_1.ptx 176 : 10000 88444 0 0 0 0 0 0 0 
_1.ptx 177 : 10000 117116 0 0 0 0 0 0 0 
_1.ptx 178 : 10000 82296 0 0 0 0 0 0 0 
_1.ptx 179 : 10000 105468 0 0 0 0 0 0 0 
_1.ptx 180 : 10000 116808 0 0 0 0 0 0 0 
_1.ptx 181 : 10000 389536 0 400 400 0 0 0 0 
_1.ptx 183 : 12800 85248 0 0 0 0 0 0 0 
_1.ptx 184 : 12800 87744 0 0 0 0 0 0 0 
_1.ptx 185 : 12800 111424 0 0 0 0 0 0 0 
_1.ptx 186 : 12800 50175 0 0 0 0 0 0 148 
_1.ptx 188 : 5688 229710 0 0 0 0 0 0 0 
_1.ptx 189 : 5688 43657 0 0 0 0 0 0 0 
