kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 411 : 680306 6921527 0 0 0 0 0 0 0 
_1.ptx 412 : 680306 6932179 0 0 0 0 0 0 0 
_1.ptx 414 : 680306 6887469 0 0 0 0 0 0 0 
_1.ptx 417 : 944772 10509285 0 0 0 0 0 0 0 
_1.ptx 418 : 944772 1013366334 14306176 0 0 814531 54873 0 0 
_1.ptx 420 : 944772 5733955 0 0 0 0 0 0 0 
_1.ptx 421 : 944772 7685546 0 0 0 0 0 0 0 
_1.ptx 422 : 944772 7730191 0 0 0 0 0 0 0 
_1.ptx 423 : 944772 4331650 0 0 0 0 0 0 28734 
_1.ptx 424 : 227467 410859 0 0 0 0 0 0 21519 
_1.ptx 427 : 365074 2614961 0 0 0 0 0 0 0 
_1.ptx 428 : 365074 2619946 0 0 0 0 0 0 0 
_1.ptx 429 : 365074 2605207 0 0 0 0 0 0 0 
_1.ptx 430 : 365074 2602810 0 0 0 0 0 0 0 
_1.ptx 431 : 365074 2607826 0 0 0 0 0 0 0 
_1.ptx 432 : 365074 2626701 0 0 0 0 0 0 0 
_1.ptx 433 : 365074 2609788 0 0 0 0 0 0 0 
_1.ptx 434 : 365074 4072265 0 0 0 0 0 0 0 
_1.ptx 435 : 365074 2606407 0 0 0 0 0 0 0 
_1.ptx 436 : 365074 2602058 0 0 0 0 0 0 0 
_1.ptx 437 : 365074 2210551 0 0 0 0 0 0 0 
_1.ptx 438 : 365074 2603592 0 0 0 0 0 0 0 
_1.ptx 439 : 365074 2208988 0 0 0 0 0 0 0 
_1.ptx 440 : 365074 2602339 0 0 0 0 0 0 0 
_1.ptx 441 : 365074 286954314 21634560 0 0 0 0 0 0 
_1.ptx 442 : 365074 2777101 0 0 0 0 0 0 0 
_1.ptx 444 : 365074 2728234 0 0 0 0 0 0 0 
_1.ptx 445 : 365074 3060822 0 0 0 0 0 0 0 
_1.ptx 446 : 365074 1391804 0 0 0 0 0 0 25273 
_1.ptx 447 : 139434 33151094 535584 0 0 0 0 0 0 
_1.ptx 448 : 139434 845531 0 0 0 0 0 0 0 
_1.ptx 451 : 225640 2297510 0 0 0 0 0 0 0 
_1.ptx 452 : 225640 2300674 0 0 0 0 0 0 0 
_1.ptx 454 : 225640 2328631 0 0 0 0 0 0 0 
_1.ptx 456 : 225640 2521628 0 0 0 0 0 0 0 
_1.ptx 457 : 225640 159086912 6241280 0 0 224018 131156 0 0 
_1.ptx 459 : 225640 1868597 0 0 0 0 0 0 0 
_1.ptx 460 : 225640 44776 0 0 0 0 0 0 4414 
_1.ptx 461 : 218341 1351430 0 0 0 0 0 0 0 
_1.ptx 462 : 218341 1783979 0 0 0 0 0 0 0 
_1.ptx 463 : 218341 1563783 0 0 0 0 0 0 0 
_1.ptx 464 : 218341 1578926 0 0 0 0 0 0 0 
_1.ptx 465 : 218341 1260054 0 0 0 0 0 0 0 
_1.ptx 466 : 13455 81910 0 0 0 0 0 0 0 
_1.ptx 468 : 7299 44684 0 0 0 0 0 0 0 
_1.ptx 469 : 7299 59536 0 0 0 0 0 0 0 
_1.ptx 473 : 805338 4373536 0 0 0 0 0 0 29 
_1.ptx 474 : 80771 18496019 781568 0 0 0 0 0 0 
_1.ptx 475 : 80771 490533 0 0 0 0 0 0 0 
_1.ptx 483 : 220205 2478995 0 0 0 0 0 0 0 
_1.ptx 484 : 220205 1814600 0 0 0 0 0 0 0 
_1.ptx 485 : 220205 856004 0 0 0 0 0 0 5 
_1.ptx 487 : 80784 581957 0 0 0 0 0 0 0 
_1.ptx 488 : 80784 581757 0 0 0 0 0 0 0 
_1.ptx 489 : 80784 818979 0 0 0 0 0 0 0 
_1.ptx 490 : 80784 910388 0 0 0 0 0 0 0 
_1.ptx 491 : 80784 585210 0 0 0 0 0 0 0 
_1.ptx 492 : 80784 585885 0 0 0 0 0 0 0 
_1.ptx 493 : 80784 578786 0 0 0 0 0 0 0 
_1.ptx 494 : 80784 576018 0 0 0 0 0 0 0 
_1.ptx 495 : 80784 900690 0 0 0 0 0 0 0 
_1.ptx 496 : 80784 576710 0 0 0 0 0 0 0 
_1.ptx 497 : 80784 575356 0 0 0 0 0 0 0 
_1.ptx 498 : 80784 900694 0 0 0 0 0 0 0 
_1.ptx 499 : 80784 25230127 2603904 0 0 74800 31928 0 0 
_1.ptx 501 : 80784 23085001 1764768 0 0 78993 31928 0 0 
_1.ptx 504 : 220205 1599935 0 0 0 0 0 0 0 
_1.ptx 506 : 220205 2477842 0 0 0 0 0 0 0 
_1.ptx 507 : 220205 2244288 0 0 0 0 0 0 0 
_1.ptx 508 : 220205 1584562 0 0 0 0 0 0 0 
_1.ptx 509 : 220205 1583955 0 0 0 0 0 0 0 
_1.ptx 510 : 220205 1577957 0 0 0 0 0 0 0 
_1.ptx 511 : 220205 1580581 0 0 0 0 0 0 0 
_1.ptx 514 : 300000 2154912 0 0 0 0 0 0 0 
_1.ptx 515 : 300000 2155776 0 0 0 0 0 0 0 
_1.ptx 516 : 300000 2148304 0 0 0 0 0 0 0 
_1.ptx 517 : 300000 2152048 0 0 0 0 0 0 0 
_1.ptx 518 : 300000 1839520 0 0 0 0 0 0 0 
_1.ptx 519 : 300000 2150864 0 0 0 0 0 0 0 
_1.ptx 520 : 300000 1830560 0 0 0 0 0 0 0 
_1.ptx 521 : 300000 2140160 0 0 0 0 0 0 0 
_1.ptx 522 : 300000 321924768 36763136 0 0 0 0 0 0 
_1.ptx 523 : 300000 2499488 0 0 0 0 0 0 0 
_1.ptx 524 : 300000 2426832 0 0 0 0 0 0 0 
_1.ptx 525 : 300000 2411344 0 0 0 0 0 0 0 
_1.ptx 526 : 300000 69387584 1030016 0 0 0 0 0 0 
_1.ptx 527 : 300000 65571536 1042688 0 0 0 0 0 0 
_1.ptx 529 : 300000 2180144 0 0 0 0 0 0 0 
_1.ptx 530 : 300000 3091872 0 0 0 0 0 0 0 
