kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 409 : 1885 17043 0 0 0 0 0 0 0 
_1.ptx 410 : 1885 13282 0 0 0 0 0 0 0 
_1.ptx 411 : 1885 13319 0 0 0 0 0 0 0 
_1.ptx 412 : 1885 13253 0 0 0 0 0 0 0 
_1.ptx 413 : 1885 15122 0 0 0 0 0 0 0 
_1.ptx 414 : 1885 13245 0 0 0 0 0 0 0 
_1.ptx 415 : 1885 11414 0 0 0 0 0 0 0 
_1.ptx 418 : 915 10099 0 0 0 0 0 0 0 
_1.ptx 419 : 915 5509 0 0 0 0 0 0 0 
_1.ptx 420 : 915 5520 0 0 0 0 0 0 0 
_1.ptx 421 : 915 8256 0 0 0 0 0 0 0 
_1.ptx 422 : 915 5527 0 0 0 0 0 0 0 
_1.ptx 423 : 915 8266 0 0 0 0 0 0 0 
_1.ptx 424 : 915 5551 0 0 0 0 0 0 0 
_1.ptx 425 : 915 8261 0 0 0 0 0 0 0 
_1.ptx 426 : 915 10081 0 0 0 0 0 0 0 
_1.ptx 427 : 915 8263 0 0 0 0 0 0 0 
_1.ptx 429 : 915 10962 0 0 0 0 0 0 0 
_1.ptx 430 : 915 5549 0 0 0 0 0 0 0 
_1.ptx 431 : 915 7355 0 0 0 0 0 0 0 
_1.ptx 432 : 915 8350 0 0 0 0 0 0 0 
_1.ptx 435 : 2800 20023 0 0 0 0 0 0 0 
_1.ptx 436 : 2800 17687 0 0 0 0 0 0 0 
_1.ptx 437 : 2800 42296 0 0 0 0 0 0 0 
_1.ptx 438 : 2800 20634 0 0 0 0 0 0 0 
_1.ptx 439 : 2800 97740 0 0 0 0 0 0 0 
_1.ptx 440 : 2800 28753 0 0 0 0 0 0 0 
_1.ptx 441 : 2800 31343 0 0 0 0 0 0 0 
_1.ptx 442 : 2800 20075 0 0 0 0 0 0 0 
_1.ptx 443 : 2800 28636 0 0 0 0 0 0 0 
_1.ptx 444 : 2800 31062 0 0 0 0 0 0 0 
_1.ptx 445 : 2800 194105 2848 0 0 2800 2800 0 0 
_1.ptx 447 : 2800 17329 0 0 0 0 0 0 0 
_1.ptx 464 : 280 1805 0 0 0 0 0 0 0 
_1.ptx 465 : 280 3169 0 0 0 0 0 0 0 
_1.ptx 466 : 280 2975 0 0 0 0 0 0 0 
_1.ptx 467 : 280 2012 0 0 0 0 0 0 0 
_1.ptx 468 : 280 3323 0 0 0 0 0 0 0 
_1.ptx 469 : 280 3102 0 0 0 0 0 0 0 
_1.ptx 470 : 280 54263 1280 0 0 280 280 0 0 
_1.ptx 471 : 280 1734 0 0 0 0 0 0 0 
_1.ptx 472 : 280 2943 0 0 0 0 0 0 0 
_1.ptx 473 : 280 2112 0 0 0 0 0 0 0 
_1.ptx 474 : 280 2924 0 0 0 0 0 0 0 
_1.ptx 65 : 28392 171155 0 0 0 0 0 0 0 
_1.ptx 475 : 280 2126 0 0 0 0 0 0 0 
_1.ptx 66 : 28392 514828 0 0 0 0 0 0 0 
_1.ptx 476 : 280 2067 0 0 0 0 0 0 0 
_1.ptx 67 : 28392 4876115 128 0 0 0 0 0 0 
_1.ptx 477 : 280 4148 0 0 0 0 0 0 0 
_1.ptx 68 : 28392 208812 0 0 0 0 0 0 0 
_1.ptx 69 : 28392 553630 0 0 0 0 0 0 0 
_1.ptx 70 : 28392 325997 0 0 0 0 0 0 0 
_1.ptx 71 : 28392 4154288 640 0 0 1008 1008 0 0 
_1.ptx 481 : 28000 203482 0 0 0 0 0 0 0 
_1.ptx 72 : 28392 188455 0 0 0 0 0 0 0 
_1.ptx 482 : 28000 292523 0 0 0 0 0 0 0 
_1.ptx 73 : 28392 418001 0 0 0 0 0 0 0 
_1.ptx 483 : 28000 311753 0 0 0 0 0 0 0 
_1.ptx 74 : 28392 187127 0 0 0 0 0 0 0 
_1.ptx 484 : 28000 1874889 0 0 0 28000 28000 0 0 
_1.ptx 75 : 28392 467149 0 0 0 0 0 0 0 
_1.ptx 485 : 28000 1897166 2816 0 0 28000 28000 0 0 
_1.ptx 76 : 28392 183921 0 0 0 0 0 0 0 
_1.ptx 486 : 28000 262346 0 0 0 0 0 0 0 
_1.ptx 77 : 28392 519348 0 0 0 0 0 0 0 
_1.ptx 487 : 28000 297628 0 0 0 0 0 0 0 
_1.ptx 78 : 28392 216620 0 0 0 0 0 0 0 
_1.ptx 488 : 28000 296161 0 0 0 0 0 0 0 
_1.ptx 79 : 28392 307491 0 0 0 0 0 0 0 
_1.ptx 489 : 28000 299514 0 0 0 0 0 0 0 
_1.ptx 80 : 28392 326399 0 0 0 0 0 0 0 
_1.ptx 490 : 28000 243867 0 0 0 0 0 0 0 
_1.ptx 81 : 28392 201476 0 0 0 0 0 0 0 
_1.ptx 491 : 28000 176470 0 0 0 0 0 0 0 
_1.ptx 82 : 28392 225864 0 0 0 0 0 0 0 
_1.ptx 83 : 28392 1303870 0 0 0 0 0 0 0 
_1.ptx 493 : 280 2038 0 0 0 0 0 0 0 
_1.ptx 494 : 280 1759 0 0 0 0 0 0 0 
_1.ptx 495 : 280 4236 0 0 0 0 0 0 0 
_1.ptx 496 : 280 2047 0 0 0 0 0 0 0 
_1.ptx 87 : 709800 70979561 128 0 0 0 0 0 0 
_1.ptx 497 : 280 2055 0 0 0 0 0 0 0 
_1.ptx 88 : 709800 7862728 0 0 0 0 0 0 0 
_1.ptx 498 : 280 2063 0 0 0 0 0 0 0 
_1.ptx 89 : 709800 7876929 0 0 0 0 0 0 0 
_1.ptx 499 : 280 1743 0 0 0 0 0 0 0 
_1.ptx 90 : 709800 5103616 0 0 0 0 0 0 0 
_1.ptx 500 : 280 2268 0 0 0 0 0 0 0 
_1.ptx 91 : 709800 7520070 0 0 0 0 0 0 0 
_1.ptx 501 : 280 145 0 0 0 0 0 0 0 
