kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 19456000 114907136 0 0 0 0 0 0 0 
_1.ptx 200 : 3891200 29081600 0 0 0 0 0 0 0 
_1.ptx 205 : 199424 1325984 0 0 0 0 0 0 0 
_1.ptx 207 : 4090624 1334720 0 0 0 0 0 0 0 
_1.ptx 209 : 3891200 13029568 0 0 0 0 0 0 0 
_1.ptx 210 : 3891200 31575040 0 0 0 0 0 0 0 
_1.ptx 211 : 3891200 40985792 0 0 0 0 0 0 0 
_1.ptx 212 : 3891200 46627616 0 0 0 0 0 0 0 
_1.ptx 213 : 3891200 21393600 15564800 0 0 121600 121600 0 0 
_1.ptx 216 : 4090624 30070336 0 0 0 0 0 0 0 
_1.ptx 63 : 215296 1318880 0 0 0 0 0 0 0 
_1.ptx 64 : 215296 1326464 0 0 0 0 0 0 0 
_1.ptx 65 : 215296 3101728 0 0 0 0 0 0 0 
_1.ptx 66 : 215296 1307456 0 0 0 0 0 0 0 
_1.ptx 67 : 215296 2388800 0 0 0 0 0 0 0 
_1.ptx 68 : 215296 15402752 128 0 0 0 0 0 0 
_1.ptx 69 : 215296 1746240 0 0 0 0 0 0 0 
_1.ptx 70 : 215296 66208 0 0 0 0 0 0 0 
_1.ptx 71 : 204800 13395296 0 0 0 0 0 0 0 
_1.ptx 72 : 204800 1281248 0 0 0 0 0 0 0 
_1.ptx 73 : 204800 1669344 0 0 0 0 0 0 0 
_1.ptx 74 : 204800 0 0 0 0 0 0 0 0 
_1.ptx 75 : 204800 1480096 0 0 0 0 0 0 0 
_1.ptx 76 : 204800 2301504 0 0 0 0 0 0 0 
_1.ptx 77 : 204800 1460448 0 0 0 0 0 0 0 
_1.ptx 78 : 204800 2273632 0 0 0 0 0 0 0 
_1.ptx 79 : 204800 1442016 0 0 0 0 0 0 0 
_1.ptx 80 : 204800 2311488 0 0 0 0 0 0 0 
_1.ptx 81 : 204800 15264704 0 0 0 0 0 0 0 
_1.ptx 82 : 204800 1442336 0 0 0 0 0 0 0 
_1.ptx 83 : 204800 2389792 0 0 0 0 0 0 0 
_1.ptx 84 : 204800 2268064 0 0 0 0 0 0 0 
_1.ptx 85 : 204800 22416320 0 0 0 0 0 0 0 
_1.ptx 86 : 204800 1470144 0 0 0 0 0 0 0 
_1.ptx 87 : 204800 2301440 0 0 0 0 0 0 0 
_1.ptx 88 : 204800 2261888 0 0 0 0 0 0 0 
_1.ptx 89 : 204800 1494368 0 0 0 0 0 0 0 
_1.ptx 93 : 6963200 898468608 27982336 0 0 6963200 217600 0 0 
_1.ptx 94 : 6963200 557278336 27852800 0 0 217600 217600 0 0 
_1.ptx 95 : 6963200 69779648 0 0 0 0 0 0 0 
_1.ptx 96 : 6963200 69694144 0 0 0 0 0 0 0 
_1.ptx 97 : 6963200 76684992 0 0 0 0 0 0 0 
_1.ptx 98 : 6963200 55928224 0 0 0 0 0 0 0 
_1.ptx 99 : 6963200 40569472 0 0 0 0 0 0 0 
_1.ptx 103 : 215296 1293632 0 0 0 0 0 0 0 
_1.ptx 125 : 4090624 28034784 0 0 0 0 0 0 0 
_1.ptx 126 : 4090624 28210176 0 0 0 0 0 0 0 
_1.ptx 127 : 4090624 55803488 0 0 0 0 0 0 0 
_1.ptx 128 : 4090624 28242784 0 0 0 0 0 0 0 
_1.ptx 129 : 4090624 48833824 0 0 0 0 0 0 0 
_1.ptx 130 : 4090624 28842496 0 0 0 0 0 0 0 
_1.ptx 131 : 4090624 51700640 0 0 0 0 0 0 0 
_1.ptx 132 : 4090624 29025280 0 0 0 0 0 0 0 
_1.ptx 133 : 4090624 53253952 0 0 0 0 0 0 0 
_1.ptx 134 : 4090624 28903520 0 0 0 0 0 0 0 
