kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 197758 3562682 0 0 0 0 0 0 0 
_1.ptx 824 : 197758 3060116 0 0 0 0 0 0 0 
_1.ptx 825 : 197758 1240739 0 0 0 0 0 0 0 
_1.ptx 826 : 197758 2202305 0 0 0 0 0 0 0 
_1.ptx 827 : 197758 1427828 0 0 0 0 0 0 0 
_1.ptx 828 : 197758 2060662 0 0 0 0 0 0 0 
_1.ptx 829 : 197758 2193455 0 0 0 0 0 0 0 
_1.ptx 830 : 197758 38184755 623488 0 0 197758 197758 0 0 
_1.ptx 831 : 197758 2277389 0 197758 197758 0 0 0 0 
_1.ptx 834 : 50603424 312558656 0 0 0 0 0 0 0 
_1.ptx 836 : 50603424 339405600 0 0 0 0 0 0 0 
_1.ptx 837 : 50603424 400926720 0 0 0 0 0 0 0 
_1.ptx 838 : 50603424 355539712 0 0 0 0 0 0 0 
_1.ptx 839 : 50603424 429742848 0 0 0 0 0 0 0 
_1.ptx 840 : 50603424 482964608 0 0 0 0 0 0 0 
_1.ptx 841 : 50603424 578020640 0 0 0 0 0 0 0 
_1.ptx 842 : 50603424 576546944 0 0 0 0 0 0 0 
_1.ptx 843 : 50603424 581375904 0 0 0 0 0 0 0 
_1.ptx 844 : 50603424 383839936 0 0 0 0 0 0 0 
_1.ptx 845 : 50603424 561200192 0 0 0 0 0 0 0 
_1.ptx 846 : 50603424 571634240 0 0 0 0 0 0 0 
_1.ptx 847 : 50603424 1044806336 0 1581357 1581357 0 0 0 0 
_1.ptx 848 : 50603424 20818214816 202000000 0 0 1581357 1581357 0 0 
_1.ptx 849 : 50603424 564502592 0 0 0 0 0 0 0 
_1.ptx 850 : 50603424 1192266016 0 0 0 1581357 1581357 0 0 
_1.ptx 852 : 50603424 568501376 0 0 0 0 0 0 0 
_1.ptx 853 : 50603424 378724192 0 0 0 0 0 0 0 
_1.ptx 854 : 50603424 532966592 0 0 0 0 0 0 0 
_1.ptx 855 : 50603424 567155072 0 0 0 0 0 0 0 
_1.ptx 856 : 50603424 21008034112 202012928 0 0 1581357 1581357 0 0 
_1.ptx 857 : 50603424 564211680 0 0 0 0 0 0 0 
_1.ptx 858 : 50603424 587194208 0 0 0 0 0 0 0 
_1.ptx 859 : 50603424 567238240 0 0 0 0 0 0 0 
_1.ptx 860 : 50603424 425970720 0 0 0 0 0 0 0 
_1.ptx 861 : 50603424 470676544 0 0 0 0 0 0 0 
_1.ptx 862 : 50603424 1259643456 0 0 0 1581357 1581357 0 0 
_1.ptx 864 : 50603424 321776672 0 0 0 0 0 0 0 
_1.ptx 884 : 50574336 347959392 0 0 0 0 0 0 0 
_1.ptx 885 : 50574336 174013920 128 0 0 0 0 0 0 
_1.ptx 886 : 50574336 360164608 0 0 0 0 0 0 0 
_1.ptx 887 : 50574336 444066720 0 0 0 0 0 0 0 
_1.ptx 888 : 50574336 0 0 0 0 0 0 0 0 
_1.ptx 889 : 50574336 385583904 0 0 0 0 0 0 0 
_1.ptx 890 : 50574336 419868992 0 0 0 0 0 0 0 
_1.ptx 891 : 50574336 449822944 0 0 0 0 0 0 0 
_1.ptx 892 : 50574336 377174560 0 0 0 0 0 0 0 
_1.ptx 896 : 50574336 379399712 0 0 0 0 0 0 0 
_1.ptx 898 : 50574336 387035936 0 0 0 0 0 0 0 
_1.ptx 899 : 50574336 606068672 0 0 0 0 0 0 0 
_1.ptx 900 : 50574336 368956000 0 0 0 0 0 0 0 
_1.ptx 901 : 50574336 415758144 0 0 0 0 0 0 0 
_1.ptx 902 : 50574336 597130144 0 0 0 0 0 0 0 
_1.ptx 903 : 50574336 420971264 0 0 0 0 0 0 0 
_1.ptx 904 : 50574336 594972512 0 0 0 0 0 0 0 
_1.ptx 905 : 50574336 411515072 0 0 0 0 0 0 0 
_1.ptx 906 : 50574336 584781792 0 0 0 0 0 0 0 
_1.ptx 907 : 50574336 584517504 0 0 0 0 0 0 0 
_1.ptx 908 : 50574336 200286272 0 0 0 0 0 0 0 
_1.ptx 909 : 50574336 584281536 0 0 0 0 0 0 0 
_1.ptx 910 : 50574336 15349496512 202297344 0 0 1580448 1580448 0 0 
_1.ptx 911 : 50574336 370814784 0 3160896 1580448 0 0 0 0 
_1.ptx 913 : 50574336 600854912 0 0 0 0 0 0 0 
_1.ptx 914 : 50574336 595315936 0 0 0 0 0 0 0 
_1.ptx 915 : 50574336 420952512 0 0 0 0 0 0 0 
_1.ptx 916 : 50574336 560261440 0 0 0 0 0 0 0 
_1.ptx 917 : 50574336 414065056 0 0 0 0 0 0 0 
_1.ptx 918 : 50574336 590814464 0 0 0 0 0 0 0 
_1.ptx 919 : 50574336 414283104 0 0 0 0 0 0 0 
_1.ptx 920 : 50574336 557010848 0 0 0 0 0 0 0 
_1.ptx 921 : 50574336 588635744 0 0 0 0 0 0 0 
_1.ptx 922 : 50574336 587568000 0 0 0 0 0 0 0 
_1.ptx 923 : 50574336 15212050912 202297344 0 0 1580448 1580448 0 0 
_1.ptx 924 : 50574336 336527232 0 3160896 1580448 0 0 0 0 
_1.ptx 926 : 50574336 355685312 0 0 0 0 0 0 0 
_1.ptx 927 : 50574336 413113504 0 0 0 0 0 0 0 
_1.ptx 928 : 50574336 368650208 0 0 0 0 0 0 0 
_1.ptx 929 : 50574336 437243968 0 0 0 0 0 0 0 
_1.ptx 930 : 50574336 0 0 0 0 0 0 0 0 
_1.ptx 931 : 50574336 353346272 0 0 0 0 0 0 0 
_1.ptx 934 : 455169024 3246279584 0 0 0 0 0 0 0 
_1.ptx 935 : 455169024 3994879456 0 0 0 0 0 0 0 
_1.ptx 936 : 455169024 2645242487 0 0 0 0 0 0 987780 
_1.ptx 938 : 100951116 769991371 0 0 0 0 0 0 0 
_1.ptx 939 : 100951116 897484022 0 0 0 0 0 0 0 
_1.ptx 940 : 100951116 918648289 0 0 0 0 0 0 0 
_1.ptx 941 : 100951116 1202805310 0 0 0 0 0 0 0 
_1.ptx 942 : 100951116 1202253635 0 0 0 0 0 0 0 
_1.ptx 943 : 100951116 1155585018 0 0 0 0 0 0 0 
