kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_2.ptx 7478 : 49152 350944 0 0 0 0 0 0 0 
_2.ptx 7479 : 49152 416224 0 0 0 0 0 0 0 
_2.ptx 7480 : 49152 382400 0 0 0 0 0 0 0 
_2.ptx 7481 : 49152 378880 0 0 0 0 0 0 0 
_2.ptx 7482 : 49152 369440 0 0 0 0 0 0 0 
_2.ptx 7483 : 49152 394912 0 0 0 0 0 0 0 
_2.ptx 7484 : 49152 423648 0 0 0 0 0 0 0 
_2.ptx 7485 : 49152 417664 0 0 0 0 0 0 0 
_2.ptx 7486 : 49152 412768 0 0 0 0 0 0 0 
_2.ptx 7487 : 49152 563680 0 0 0 0 0 0 0 
_2.ptx 7488 : 49152 556416 0 0 0 0 0 0 0 
_2.ptx 7489 : 49152 550816 0 0 0 0 0 0 0 
_2.ptx 7490 : 49152 501472 0 0 0 0 0 0 0 
_2.ptx 7492 : 49152 408672 0 1536 1536 0 0 0 0 
_2.ptx 7493 : 49152 415872 0 1536 1536 0 0 0 0 
_2.ptx 7494 : 49152 403712 0 0 0 0 0 0 0 
_2.ptx 7495 : 49152 402496 0 0 0 0 0 0 0 
_2.ptx 7496 : 49152 408960 0 0 0 0 0 0 0 
_2.ptx 7497 : 49152 357408 0 0 0 0 0 0 0 
_2.ptx 7499 : 49152 357248 0 0 0 0 0 0 0 
_2.ptx 7500 : 49152 368608 0 0 0 0 0 0 0 
_2.ptx 7501 : 49152 371808 0 0 0 0 0 0 0 
_2.ptx 7502 : 49152 375520 0 0 0 0 0 0 0 
_2.ptx 7503 : 49152 374336 0 0 0 0 0 0 0 
_2.ptx 7504 : 49152 370496 0 0 0 0 0 0 0 
_2.ptx 7505 : 49152 410496 0 0 0 0 0 0 0 
_2.ptx 7506 : 49152 261888 0 1536 1536 0 0 0 0 
_2.ptx 7507 : 49152 350752 0 0 0 0 0 0 0 
_2.ptx 7508 : 49152 351488 0 0 0 0 0 0 0 
