kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 194 : 286720 1376480 0 0 0 0 0 0 0 
_1.ptx 195 : 57344 344128 0 0 0 0 0 0 0 
_1.ptx 200 : 4608 27744 0 0 0 0 0 0 0 
_1.ptx 202 : 61952 27712 0 0 0 0 0 0 0 
_1.ptx 204 : 57344 30172896 0 0 0 0 0 0 0 
_1.ptx 205 : 57344 402016 0 0 0 0 0 0 0 
_1.ptx 206 : 57344 574976 0 0 0 0 0 0 0 
_1.ptx 207 : 57344 630912 0 0 0 0 0 0 0 
_1.ptx 208 : 57344 30915136 229376 0 0 1792 1792 0 0 
_1.ptx 211 : 61952 371776 0 0 0 0 0 0 0 
_1.ptx 123 : 61952 373152 0 0 0 0 0 0 0 
_1.ptx 124 : 61952 372864 0 0 0 0 0 0 0 
_1.ptx 125 : 61952 1225120 0 0 0 0 0 0 0 
_1.ptx 126 : 61952 409216 0 0 0 0 0 0 0 
_1.ptx 127 : 61952 760288 0 0 0 0 0 0 0 
_1.ptx 128 : 61952 480864 0 0 0 0 0 0 0 
_1.ptx 129 : 61952 1145376 0 0 0 0 0 0 0 
_1.ptx 130 : 61952 445696 0 0 0 0 0 0 0 
_1.ptx 131 : 61952 1196928 0 0 0 0 0 0 0 
_1.ptx 132 : 61952 414816 0 0 0 0 0 0 0 
_1.ptx 133 : 61952 694848 0 0 0 0 0 0 0 
_1.ptx 134 : 61952 11442880 128 0 0 0 0 0 0 
_1.ptx 135 : 61952 521792 0 0 0 0 0 0 0 
_1.ptx 136 : 61952 27744 0 0 0 0 0 0 0 
_1.ptx 137 : 57344 7346400 0 0 0 0 0 0 0 
_1.ptx 138 : 57344 353344 0 0 0 0 0 0 0 
_1.ptx 139 : 57344 475680 0 0 0 0 0 0 0 
_1.ptx 140 : 57344 0 0 0 0 0 0 0 0 
_1.ptx 141 : 57344 416608 0 0 0 0 0 0 0 
_1.ptx 142 : 57344 7981536 0 0 0 0 0 0 0 
_1.ptx 143 : 57344 363008 0 0 0 0 0 0 0 
_1.ptx 144 : 57344 477888 0 0 0 0 0 0 0 
_1.ptx 145 : 57344 393248 0 0 0 0 0 0 0 
_1.ptx 146 : 57344 393216 0 0 0 0 0 0 0 
_1.ptx 147 : 57344 378016 0 0 0 0 0 0 0 
_1.ptx 148 : 57344 449920 0 0 0 0 0 0 0 
_1.ptx 151 : 286720 0 0 0 0 0 0 0 0 
_1.ptx 152 : 286720 2045664 0 0 0 0 0 0 0 
_1.ptx 153 : 286720 3340512 0 0 0 0 0 0 0 
_1.ptx 154 : 286720 2031840 0 0 0 0 0 0 0 
_1.ptx 155 : 286720 3167136 0 0 0 0 0 0 0 
_1.ptx 156 : 286720 135823808 0 0 0 0 0 0 0 
_1.ptx 157 : 286720 2028832 0 0 0 0 0 0 0 
_1.ptx 158 : 286720 3154560 0 0 0 0 0 0 0 
_1.ptx 159 : 286720 3166016 0 0 0 0 0 0 0 
_1.ptx 160 : 286720 3502048 0 0 0 0 0 0 0 
_1.ptx 161 : 286720 2041344 0 0 0 0 0 0 0 
_1.ptx 162 : 286720 143791200 0 0 0 0 0 0 0 
_1.ptx 163 : 286720 1748448 0 0 0 0 0 0 0 
_1.ptx 164 : 286720 2040480 0 0 0 0 0 0 0 
_1.ptx 168 : 39567360 277146656 0 0 0 0 0 0 0 
_1.ptx 169 : 39567360 396137952 0 0 0 0 0 0 0 
_1.ptx 170 : 39567360 435403680 0 0 0 0 0 0 0 
_1.ptx 171 : 39567360 55405815040 353011840 0 0 39567360 1236480 0 0 
_1.ptx 172 : 39567360 38408386048 213760 0 0 1236480 1236480 0 0 
_1.ptx 173 : 39567360 435275648 0 0 0 0 0 0 0 
_1.ptx 175 : 39567360 356228800 0 0 0 0 0 0 0 
_1.ptx 176 : 39567360 395822400 0 0 0 0 0 0 0 
_1.ptx 177 : 39567360 396364928 0 0 0 0 0 0 0 
_1.ptx 178 : 39567360 395877664 0 0 0 0 0 0 0 
_1.ptx 179 : 39567360 316712640 0 0 0 0 0 0 0 
_1.ptx 180 : 39567360 235721056 0 0 0 0 0 0 0 
_1.ptx 181 : 286720 1720416 0 0 0 0 0 0 0 
_1.ptx 185 : 286720 2295008 0 0 0 0 0 0 0 
_1.ptx 186 : 286720 1002272 0 0 0 0 0 0 2465 
_1.ptx 188 : 119680 838390 0 0 0 0 0 0 0 
_1.ptx 190 : 119680 838796 0 0 0 0 0 0 0 
_1.ptx 192 : 286720 2868064 0 0 0 0 0 0 0 
_1.ptx 193 : 286720 2294272 0 0 0 0 0 0 0 
