kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 32000 353122 0 0 0 0 0 0 0 
_1.ptx 98 : 32000 4670865 0 0 0 0 0 0 0 
_1.ptx 102 : 512040 356343211 9988608 0 0 373673 53714 0 0 
_1.ptx 103 : 512040 3596427 0 0 0 0 0 0 0 
_1.ptx 104 : 512040 5639414 0 0 0 0 0 0 0 
_1.ptx 105 : 512040 340068517 35456 0 0 507586 53714 0 0 
_1.ptx 106 : 512040 3085430 0 0 0 0 0 0 0 
_1.ptx 107 : 512040 4104228 0 0 0 0 0 0 0 
_1.ptx 108 : 512040 2416585 0 0 0 0 0 0 21424 
_1.ptx 110 : 109891 9827233 0 0 0 0 0 0 0 
_1.ptx 111 : 109891 1114395 0 0 0 0 0 0 0 
_1.ptx 112 : 109891 1213275 0 0 0 0 0 0 0 
_1.ptx 113 : 109891 33495921 142592 0 0 35945 35945 0 0 
_1.ptx 114 : 109891 1104402 0 0 0 0 0 0 0 
_1.ptx 115 : 109891 1112869 0 0 0 0 0 0 0 
_1.ptx 116 : 109891 1212304 0 0 0 0 0 0 0 
_1.ptx 117 : 109891 11992302 237184 0 0 109716 35945 0 0 
_1.ptx 119 : 109891 664638 0 0 0 0 0 0 0 
_1.ptx 120 : 109891 9881313 0 0 0 0 0 0 0 
_1.ptx 121 : 109891 1212783 0 0 0 0 0 0 0 
_1.ptx 122 : 109891 11416670 33088 0 0 109716 35945 0 0 
_1.ptx 123 : 109891 38341459 573952 0 0 57854 35945 0 0 
_1.ptx 124 : 109891 32116886 5760 0 0 57854 35945 0 0 
_1.ptx 125 : 109891 1211949 0 0 0 0 0 0 0 
_1.ptx 128 : 512040 5134135 0 0 0 0 0 0 0 
_1.ptx 129 : 512040 5151536 0 0 0 0 0 0 0 
_1.ptx 130 : 512040 4114160 0 0 0 0 0 0 0 
_1.ptx 131 : 512040 2887696 0 0 0 0 0 0 4586 
_1.ptx 135 : 193536 1184896 0 0 0 0 0 0 0 
_1.ptx 151 : 193536 1188896 0 0 0 0 0 0 0 
_1.ptx 152 : 193536 3696256 0 0 0 0 0 0 0 
_1.ptx 153 : 193536 1474368 0 0 0 0 0 0 0 
_1.ptx 154 : 193536 2370272 0 0 0 0 0 0 0 
_1.ptx 155 : 193536 1039872 0 0 0 0 0 0 0 
_1.ptx 156 : 193536 1608672 0 0 0 0 0 0 0 
_1.ptx 157 : 193536 10112 0 0 0 0 0 0 0 
_1.ptx 158 : 192000 1503168 0 0 0 0 0 0 0 
_1.ptx 159 : 192000 1016224 0 0 0 0 0 0 0 
_1.ptx 160 : 192000 2124512 0 0 0 0 0 0 0 
_1.ptx 161 : 192000 41543552 57472 0 0 6000 6000 0 0 
_1.ptx 162 : 192000 1169568 0 0 0 0 0 0 0 
_1.ptx 163 : 192000 1574624 0 0 0 0 0 0 0 
_1.ptx 164 : 192000 1001147 0 0 0 0 0 0 3203 
_1.ptx 67 : 193536 1182048 0 0 0 0 0 0 0 
_1.ptx 68 : 193536 3684416 0 0 0 0 0 0 0 
_1.ptx 166 : 31999 201991 0 0 0 0 0 0 0 
_1.ptx 69 : 193536 1483904 0 0 0 0 0 0 0 
_1.ptx 167 : 31999 543459 0 0 0 0 0 0 0 
_1.ptx 70 : 193536 2380192 0 0 0 0 0 0 0 
_1.ptx 168 : 31999 355826 0 0 0 0 0 0 0 
_1.ptx 71 : 193536 6269056 128 0 0 0 0 0 0 
_1.ptx 169 : 31999 1056393 22432 0 0 3203 3203 0 0 
_1.ptx 72 : 193536 1614208 0 0 0 0 0 0 0 
_1.ptx 73 : 193536 10240 0 0 0 0 0 0 0 
_1.ptx 171 : 31999 196118 0 0 0 0 0 0 0 
_1.ptx 74 : 192000 1539360 0 0 0 0 0 0 0 
_1.ptx 172 : 31999 816216 0 0 0 0 0 0 0 
