kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 64 : 6291456 49139872 0 0 0 0 0 0 0 
_1.ptx 65 : 6291456 52648000 0 0 0 0 0 0 0 
_1.ptx 66 : 6291456 20126112 0 0 0 0 0 0 0 
_1.ptx 67 : 6291456 51644576 0 0 0 0 0 0 0 
_1.ptx 68 : 6291456 57053088 0 0 0 0 0 0 0 
_1.ptx 69 : 6291456 0 0 0 0 0 0 0 0 
_1.ptx 70 : 6291456 49191104 0 0 0 0 0 0 0 
_1.ptx 71 : 6291456 49989248 0 0 0 0 0 0 0 
_1.ptx 72 : 6291456 57849024 0 0 0 0 0 0 0 
_1.ptx 73 : 6291456 54998112 0 0 0 0 0 0 0 
_1.ptx 74 : 6291456 48445024 0 0 0 0 0 0 0 
_1.ptx 75 : 6291456 52853216 0 0 0 0 0 0 0 
_1.ptx 76 : 6291456 52595936 0 0 0 0 0 0 0 
_1.ptx 77 : 6291456 74178144 0 0 0 0 0 0 0 
_1.ptx 78 : 6291456 78588608 0 0 0 0 0 0 0 
_1.ptx 79 : 6291456 82053536 0 0 0 0 0 0 0 
_1.ptx 80 : 6291456 73614880 0 0 0 0 0 0 0 
_1.ptx 81 : 6291456 25062688 0 0 0 0 0 0 0 
_1.ptx 82 : 6291456 73857952 0 0 0 0 0 0 0 
_1.ptx 83 : 6291456 74016768 0 0 0 0 0 0 0 
_1.ptx 87 : 25165824 7617334368 100663296 0 0 786432 786432 0 0 
_1.ptx 88 : 25165824 179768288 0 786432 786432 0 0 0 0 
_1.ptx 89 : 25165824 292401600 0 0 0 0 0 0 0 
_1.ptx 90 : 25165824 292207872 0 0 0 0 0 0 0 
_1.ptx 91 : 25165824 293022272 0 0 0 0 0 0 0 
_1.ptx 92 : 25165824 222492416 0 0 0 0 0 0 0 
_1.ptx 93 : 25165824 135839168 0 0 0 0 0 0 0 
_1.ptx 95 : 6291456 48015648 0 0 0 0 0 0 0 
_1.ptx 97 : 6291456 51760736 0 0 0 0 0 0 0 
_1.ptx 98 : 6291456 51929760 0 0 0 0 0 0 0 
_1.ptx 99 : 6291456 45674080 0 0 0 0 0 0 0 
_1.ptx 100 : 6291456 55348480 0 0 0 0 0 0 0 
_1.ptx 101 : 6291456 0 0 0 0 0 0 0 0 
_1.ptx 104 : 31457280 227073056 0 0 0 0 0 0 0 
_1.ptx 106 : 31457280 340245376 0 0 0 0 0 0 0 
_1.ptx 107 : 31457280 294233344 0 0 0 0 0 0 0 
_1.ptx 108 : 31457280 377252416 0 0 0 0 0 0 0 
_1.ptx 109 : 31457280 293725888 0 0 0 0 0 0 0 
_1.ptx 110 : 31457280 376697824 0 0 0 0 0 0 0 
_1.ptx 111 : 31457280 285014496 0 0 0 0 0 0 0 
_1.ptx 112 : 31457280 446912768 0 0 0 0 0 0 0 
_1.ptx 113 : 31457280 373119232 0 0 0 0 0 0 0 
_1.ptx 114 : 31457280 421552800 0 2162688 983040 0 0 0 0 
_1.ptx 116 : 31457280 369183200 0 0 0 0 0 0 0 
_1.ptx 117 : 31457280 273853568 0 0 0 0 0 0 0 
_1.ptx 118 : 31457280 372344960 0 0 0 0 0 0 0 
_1.ptx 119 : 31457280 371520512 0 0 0 0 0 0 0 
_1.ptx 120 : 31457280 446437536 0 2162688 983040 0 0 0 0 
_1.ptx 122 : 31457280 366994240 0 0 0 0 0 0 0 
_1.ptx 123 : 31457280 266734112 0 0 0 0 0 0 0 
_1.ptx 124 : 31457280 364318688 0 0 0 0 0 0 0 
_1.ptx 125 : 31457280 369188736 0 0 0 0 0 0 0 
_1.ptx 126 : 31457280 442435680 0 2162688 983040 0 0 0 0 
_1.ptx 128 : 31457280 364990112 0 0 0 0 0 0 0 
_1.ptx 129 : 31457280 264486112 0 0 0 0 0 0 0 
_1.ptx 130 : 31457280 352688256 0 0 0 0 0 0 0 
_1.ptx 131 : 31457280 368158400 0 0 0 0 0 0 0 
_1.ptx 132 : 31457280 435644320 0 2162688 983040 0 0 0 0 
_1.ptx 134 : 31457280 364503232 0 0 0 0 0 0 0 
_1.ptx 135 : 31457280 367333856 0 0 0 0 0 0 0 
_1.ptx 137 : 31457280 364431488 0 0 0 0 0 0 0 
_1.ptx 138 : 31457280 366271136 0 0 0 0 0 0 0 
_1.ptx 140 : 31457280 365202112 0 0 0 0 0 0 0 
_1.ptx 141 : 31457280 310144736 0 2162688 983040 0 0 0 0 
_1.ptx 142 : 31457280 360328704 0 0 0 0 0 0 0 
_1.ptx 143 : 31457280 307031680 0 2162688 983040 0 0 0 0 
_1.ptx 145 : 31457280 359263232 0 0 0 0 0 0 0 
_1.ptx 146 : 31457280 302160800 0 2162688 983040 0 0 0 0 
_1.ptx 147 : 31457280 358535008 0 0 0 0 0 0 0 
_1.ptx 148 : 31457280 295755424 0 2162688 983040 0 0 0 0 
_1.ptx 150 : 31457280 243947712 0 0 0 0 0 0 0 
_1.ptx 151 : 31457280 221277088 0 0 0 0 0 0 0 
_1.ptx 152 : 31457280 268051264 0 0 0 0 0 0 0 
_1.ptx 153 : 31457280 179870592 0 0 0 0 0 0 0 
_1.ptx 155 : 6291456 46664832 0 0 0 0 0 0 0 
_1.ptx 156 : 6291456 40671808 0 0 0 0 0 0 0 
_1.ptx 157 : 6291456 52287616 0 0 0 0 0 0 0 
_1.ptx 158 : 6291456 0 0 0 0 0 0 0 0 
_1.ptx 160 : 6291456 41952384 0 0 0 0 0 0 0 
_1.ptx 162 : 6291456 53886688 0 0 0 0 0 0 0 
_1.ptx 163 : 6291456 53891936 0 0 0 0 0 0 0 
_1.ptx 164 : 6291456 47132576 0 0 0 0 0 0 0 
_1.ptx 165 : 6291456 57147616 0 0 0 0 0 0 0 
_1.ptx 166 : 6291456 75454048 0 0 0 0 0 0 0 
_1.ptx 167 : 6291456 54385664 0 0 0 0 0 0 0 
_1.ptx 168 : 6291456 56617664 0 0 0 0 0 0 0 
_1.ptx 169 : 6291456 0 0 0 0 0 0 0 0 
_1.ptx 170 : 6291456 47339648 0 0 0 0 0 0 0 
_1.ptx 174 : 12582912 105464672 0 0 0 0 0 0 0 
_1.ptx 175 : 12582912 101723808 0 0 0 0 0 0 0 
_1.ptx 176 : 12582912 135494656 0 0 0 0 0 0 0 
_1.ptx 177 : 12582912 147133888 0 0 0 0 0 0 0 
_1.ptx 178 : 12582912 146786240 0 786432 393216 0 0 0 0 
_1.ptx 180 : 12582912 151892256 0 786432 393216 0 0 0 0 
_1.ptx 182 : 12582912 146854080 0 0 0 0 0 0 0 
_1.ptx 183 : 12582912 101150496 0 786432 393216 0 0 0 0 
_1.ptx 185 : 12582912 145533600 0 0 0 0 0 0 0 
_1.ptx 186 : 12582912 99245824 0 786432 393216 0 0 0 0 
_1.ptx 187 : 12582912 145878496 0 0 0 0 0 0 0 
_1.ptx 188 : 12582912 110302496 0 0 0 0 0 0 0 
_1.ptx 189 : 12582912 45212160 0 0 0 0 0 0 0 
_1.ptx 193 : 6291456 47075808 0 0 0 0 0 0 0 
_1.ptx 195 : 6291456 52620864 0 0 0 0 0 0 0 
_1.ptx 196 : 6291456 0 0 0 0 0 0 0 0 
_1.ptx 197 : 6291456 52643552 0 0 0 0 0 0 0 
_1.ptx 198 : 6291456 47589824 0 0 0 0 0 0 0 
_1.ptx 199 : 6291456 52485696 0 0 0 0 0 0 0 
_1.ptx 200 : 6291456 47698784 0 0 0 0 0 0 0 
_1.ptx 201 : 6291456 54907200 0 0 0 0 0 0 0 
_1.ptx 202 : 6291456 87632448 0 0 0 0 0 0 0 
_1.ptx 203 : 6291456 100620224 0 0 0 0 0 0 0 
