kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 199 : 24576 151840 0 0 0 0 0 0 0 
_1.ptx 200 : 24576 199040 0 0 0 0 0 0 0 
_1.ptx 201 : 24576 99104 0 0 0 0 0 0 0 
_1.ptx 203 : 8192 66368 0 256 256 0 0 0 0 
_1.ptx 204 : 8192 67840 0 256 256 0 0 0 0 
_1.ptx 205 : 8192 90752 0 0 0 0 0 0 0 
_1.ptx 206 : 8192 41920 0 256 256 0 0 0 0 
_1.ptx 208 : 24576 148736 0 0 0 0 0 0 0 
_1.ptx 209 : 24576 99360 0 0 0 0 0 0 0 
_1.ptx 211 : 8192 66240 0 256 256 0 0 0 0 
_1.ptx 212 : 8192 67072 0 256 256 0 0 0 0 
_1.ptx 213 : 8192 90688 0 0 0 0 0 0 0 
_1.ptx 214 : 8192 41376 0 256 256 0 0 0 0 
_1.ptx 216 : 24576 149216 0 0 0 0 0 0 0 
_1.ptx 217 : 24576 148864 0 0 0 0 0 0 0 
_1.ptx 218 : 24576 198400 0 0 0 0 0 0 0 
_1.ptx 219 : 24576 124096 0 0 0 0 0 0 256 
_1.ptx 221 : 4096 33056 0 256 256 0 0 0 0 
_1.ptx 222 : 4096 33312 0 256 256 0 0 0 0 
_1.ptx 223 : 4096 45312 0 0 0 0 0 0 0 
_1.ptx 224 : 4096 20720 0 256 256 0 0 0 0 
_1.ptx 226 : 24576 149280 0 0 0 0 0 0 0 
_1.ptx 227 : 24576 151520 0 0 0 0 0 0 0 
_1.ptx 228 : 24576 199200 0 0 0 0 0 0 0 
_1.ptx 229 : 24576 136376 0 0 0 0 0 0 256 
_1.ptx 231 : 2048 16656 0 256 256 0 0 0 0 
_1.ptx 232 : 2048 16856 0 256 256 0 0 0 0 
_1.ptx 233 : 2048 22688 0 0 0 0 0 0 0 
_1.ptx 234 : 2048 10376 0 256 256 0 0 0 0 
_1.ptx 236 : 24576 149920 0 0 0 0 0 0 0 
_1.ptx 237 : 24576 150432 0 0 0 0 0 0 0 
_1.ptx 238 : 24576 199232 0 0 0 0 0 0 0 
_1.ptx 239 : 24576 143396 0 0 0 0 0 0 256 
_1.ptx 241 : 1024 8316 0 256 256 0 0 0 0 
_1.ptx 242 : 1024 8376 0 256 256 0 0 0 0 
_1.ptx 243 : 1024 11396 0 0 0 0 0 0 0 
_1.ptx 244 : 1024 5196 0 256 256 0 0 0 0 
_1.ptx 246 : 24576 148736 0 0 0 0 0 0 0 
_1.ptx 247 : 24576 149056 0 0 0 0 0 0 0 
_1.ptx 248 : 24576 198592 0 0 0 0 0 0 0 
_1.ptx 249 : 24576 145554 0 0 0 0 0 0 256 
_1.ptx 251 : 512 4116 0 256 256 0 0 0 0 
_1.ptx 252 : 512 4144 0 256 256 0 0 0 0 
_1.ptx 253 : 512 5670 0 0 0 0 0 0 0 
_1.ptx 254 : 512 2600 0 256 256 0 0 0 0 
_1.ptx 256 : 24576 148992 0 0 0 0 0 0 0 
_1.ptx 257 : 24576 149920 0 0 0 0 0 0 0 
_1.ptx 258 : 24576 199168 0 0 0 0 0 0 0 
_1.ptx 259 : 24576 147091 0 0 0 0 0 0 256 
_1.ptx 261 : 256 2056 0 256 256 0 0 0 0 
_1.ptx 262 : 256 2069 0 256 256 0 0 0 0 
_1.ptx 263 : 256 2834 0 0 0 0 0 0 0 
_1.ptx 264 : 256 1321 0 256 256 0 0 0 0 
_1.ptx 266 : 24576 148384 0 0 0 0 0 0 0 
_1.ptx 267 : 24576 149024 0 0 0 0 0 0 0 
_1.ptx 268 : 24576 198688 0 0 0 0 0 0 0 
_1.ptx 269 : 24576 147288 0 0 0 0 0 0 256 
_1.ptx 70 : 24576 151680 0 0 0 0 0 0 0 
_1.ptx 71 : 24576 153600 0 0 0 0 0 0 0 
_1.ptx 271 : 256 1805 0 256 256 0 0 0 0 
_1.ptx 72 : 24576 303456 0 0 0 0 0 0 0 
_1.ptx 272 : 256 812 0 0 0 0 0 0 0 
_1.ptx 73 : 24576 150112 0 0 0 0 0 0 0 
_1.ptx 273 : 256 1814 0 0 0 0 0 0 0 
_1.ptx 74 : 24576 179232 0 0 0 0 0 0 0 
_1.ptx 274 : 256 2580 0 0 0 0 0 0 0 
_1.ptx 75 : 24576 278176 0 0 0 0 0 0 0 
_1.ptx 275 : 256 2832 0 0 0 0 0 0 0 
_1.ptx 76 : 24576 159392 0 0 0 0 0 0 0 
_1.ptx 276 : 256 1291 1024 0 0 256 256 0 0 
