kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 77 : 65792 419392 0 0 0 0 0 0 0 
_1.ptx 78 : 65792 421152 0 0 0 0 0 0 0 
_1.ptx 79 : 65792 418656 0 0 0 0 0 0 0 
_1.ptx 80 : 65792 421280 0 0 0 0 0 0 0 
_1.ptx 81 : 65792 421376 0 0 0 0 0 0 0 
_1.ptx 83 : 65792 425152 0 0 0 0 0 0 0 
_1.ptx 84 : 65792 1171136 0 0 0 0 0 0 0 
_1.ptx 85 : 65792 421440 0 0 0 0 0 0 0 
_1.ptx 86 : 65792 498368 0 0 0 0 0 0 0 
_1.ptx 87 : 65792 1301344 0 0 0 0 0 0 0 
_1.ptx 88 : 65792 749344 0 0 0 0 0 0 0 
_1.ptx 89 : 65792 765088 0 0 0 0 0 0 0 
_1.ptx 90 : 65792 522848 0 0 0 0 0 0 0 
_1.ptx 91 : 65792 1107456 0 0 0 0 0 0 0 
_1.ptx 92 : 65792 4260960 128 0 0 0 0 0 0 
_1.ptx 93 : 65792 748672 0 0 0 0 0 0 0 
_1.ptx 94 : 65792 28088128 263168 0 0 2056 2056 0 0 
_1.ptx 95 : 65792 1976128 0 2056 2056 0 0 0 0 
_1.ptx 97 : 65792 416800 0 0 0 0 0 0 0 
_1.ptx 98 : 65792 738688 0 0 0 0 0 0 0 
_1.ptx 99 : 65792 2808608 1024 0 0 0 0 0 0 
_1.ptx 100 : 65792 737088 0 0 0 0 0 0 0 
_1.ptx 101 : 65792 1780928 0 2056 2056 0 0 0 0 
_1.ptx 103 : 65792 419776 0 0 0 0 0 0 0 
_1.ptx 104 : 65792 739104 0 0 0 0 0 0 0 
_1.ptx 105 : 65792 2605280 1024 0 0 0 0 0 0 
_1.ptx 106 : 65792 740448 0 0 0 0 0 0 0 
_1.ptx 107 : 65792 1459904 0 2056 2056 0 0 0 0 
_1.ptx 109 : 65792 419424 0 0 0 0 0 0 0 
_1.ptx 110 : 65792 739552 0 0 0 0 0 0 0 
_1.ptx 111 : 65792 2266688 1024 0 0 0 0 0 0 
_1.ptx 112 : 65792 740992 0 0 0 0 0 0 0 
_1.ptx 113 : 65792 1281632 0 2056 2056 0 0 0 0 
_1.ptx 115 : 65792 419456 0 0 0 0 0 0 0 
_1.ptx 116 : 65792 742400 0 0 0 0 0 0 0 
_1.ptx 117 : 65792 2222848 1024 0 0 0 0 0 0 
_1.ptx 118 : 65792 742560 0 0 0 0 0 0 0 
_1.ptx 119 : 65792 848640 0 2056 2056 0 0 0 0 
_1.ptx 121 : 65792 420160 0 0 0 0 0 0 0 
_1.ptx 122 : 65792 450496 0 0 0 0 0 0 0 
_1.ptx 124 : 65792 505280 0 0 0 0 0 0 0 
_1.ptx 125 : 65792 514976 0 0 0 0 0 0 0 
_1.ptx 126 : 65792 451680 0 0 0 0 0 0 0 
_1.ptx 127 : 65792 520672 0 0 0 0 0 0 0 
_1.ptx 128 : 65792 446880 0 0 0 0 0 0 0 
_1.ptx 129 : 65792 518848 0 0 0 0 0 0 0 
_1.ptx 130 : 65792 445216 0 0 0 0 0 0 0 
_1.ptx 131 : 65792 514304 0 0 0 0 0 0 0 
_1.ptx 132 : 65792 1945216 128 0 0 0 0 0 0 
_1.ptx 133 : 65792 519072 0 0 0 0 0 0 0 
_1.ptx 135 : 65792 754592 0 0 0 0 0 0 0 
_1.ptx 136 : 65792 634432 0 2056 2056 0 0 0 0 
_1.ptx 137 : 65792 560832 0 0 0 0 0 0 0 
_1.ptx 138 : 65792 389312 0 2056 2056 0 0 0 0 
_1.ptx 140 : 65792 429888 0 0 0 0 0 0 0 
_1.ptx 142 : 65792 512896 0 0 0 0 0 0 0 
_1.ptx 143 : 65792 1038240 0 0 0 0 0 0 0 
_1.ptx 144 : 65792 1183328 0 0 0 0 0 0 0 
_1.ptx 145 : 65792 533120 0 0 0 0 0 0 0 
_1.ptx 146 : 65792 473440 0 0 0 0 0 0 0 
_1.ptx 147 : 65792 764416 0 0 0 0 0 0 0 
_1.ptx 148 : 65792 2832896 128 0 0 0 0 0 0 
_1.ptx 149 : 65792 762784 0 0 0 0 0 0 0 
_1.ptx 150 : 65792 536352 0 0 0 0 0 0 0 
_1.ptx 151 : 65792 1047040 0 0 0 0 0 0 0 
_1.ptx 152 : 65792 750976 0 0 0 0 0 0 0 
_1.ptx 153 : 65792 590432 0 2056 2056 0 0 0 0 
_1.ptx 154 : 65792 509952 0 0 0 0 0 0 0 
_1.ptx 155 : 65792 984384 0 0 0 0 0 0 0 
_1.ptx 156 : 65792 755488 0 0 0 0 0 0 0 
_1.ptx 157 : 65792 601664 0 2443 2056 0 0 0 0 
_1.ptx 159 : 65792 326240 0 0 0 0 0 0 0 
_1.ptx 160 : 65792 750016 0 0 0 0 0 0 0 
_1.ptx 161 : 65792 527488 0 0 0 0 0 0 0 
_1.ptx 162 : 65792 816320 0 0 0 0 0 0 0 
_1.ptx 163 : 65792 753088 0 0 0 0 0 0 0 
_1.ptx 164 : 65792 588544 0 2056 2056 0 0 0 0 
_1.ptx 165 : 65792 511680 0 0 0 0 0 0 0 
_1.ptx 166 : 65792 835744 0 0 0 0 0 0 0 
_1.ptx 167 : 65792 750816 0 0 0 0 0 0 0 
_1.ptx 168 : 65792 607456 0 2659 2056 0 0 0 0 
_1.ptx 170 : 65792 324320 0 0 0 0 0 0 0 
_1.ptx 171 : 65792 746240 0 0 0 0 0 0 0 
_1.ptx 172 : 65792 518560 0 0 0 0 0 0 0 
_1.ptx 173 : 65792 792608 0 0 0 0 0 0 0 
_1.ptx 174 : 65792 752896 0 0 0 0 0 0 0 
_1.ptx 175 : 65792 586944 0 2056 2056 0 0 0 0 
_1.ptx 176 : 65792 516384 0 0 0 0 0 0 0 
_1.ptx 177 : 65792 802208 0 0 0 0 0 0 0 
_1.ptx 178 : 65792 747232 0 0 0 0 0 0 0 
_1.ptx 179 : 65792 618272 0 2618 2056 0 0 0 0 
_1.ptx 181 : 65792 337184 0 0 0 0 0 0 0 
_1.ptx 182 : 65792 749280 0 0 0 0 0 0 0 
_1.ptx 183 : 65792 517376 0 0 0 0 0 0 0 
_1.ptx 184 : 65792 775296 0 0 0 0 0 0 0 
_1.ptx 185 : 65792 752000 0 0 0 0 0 0 0 
_1.ptx 186 : 65792 590368 0 2056 2056 0 0 0 0 
_1.ptx 187 : 65792 487584 0 0 0 0 0 0 0 
_1.ptx 188 : 65792 985888 0 0 0 0 0 0 0 
_1.ptx 189 : 65792 750464 0 0 0 0 0 0 0 
_1.ptx 190 : 65792 632224 0 2658 2056 0 0 0 0 
_1.ptx 192 : 65792 699328 0 0 0 0 0 0 0 
_1.ptx 193 : 65792 546336 0 0 0 0 0 0 0 
_1.ptx 194 : 65792 480160 0 0 0 0 0 0 0 
_1.ptx 195 : 65792 536224 0 0 0 0 0 0 0 
_1.ptx 196 : 65792 467904 0 0 0 0 0 0 0 
_1.ptx 197 : 65792 526720 0 0 0 0 0 0 0 
_1.ptx 198 : 65792 460576 0 0 0 0 0 0 0 
_1.ptx 199 : 65792 518656 0 0 0 0 0 0 0 
_1.ptx 200 : 65792 776512 0 0 0 0 0 0 0 
_1.ptx 201 : 65792 511296 0 0 0 0 0 0 0 
_1.ptx 203 : 65792 564960 0 0 0 0 0 0 0 
_1.ptx 204 : 65792 565568 0 0 0 0 0 0 0 
_1.ptx 205 : 65792 564064 0 0 0 0 0 0 0 
_1.ptx 206 : 65792 553152 0 0 0 0 0 0 0 
_1.ptx 207 : 65792 377056 0 2056 2056 0 0 0 0 
_1.ptx 209 : 65792 462528 0 0 0 0 0 0 0 
_1.ptx 211 : 65792 765920 0 0 0 0 0 0 0 
_1.ptx 212 : 65792 589472 0 2056 2056 0 0 0 0 
_1.ptx 213 : 65792 497536 0 0 0 0 0 0 0 
_1.ptx 214 : 65792 914624 0 0 0 0 0 0 0 
_1.ptx 215 : 65792 752032 0 0 0 0 0 0 0 
_1.ptx 216 : 65792 698016 0 3946 2056 0 0 0 0 
_1.ptx 218 : 65792 744288 0 0 0 0 0 0 0 
_1.ptx 219 : 65792 618656 0 2056 2056 0 0 0 0 
_1.ptx 220 : 65792 506624 0 0 0 0 0 0 0 
_1.ptx 221 : 65792 801152 0 0 0 0 0 0 0 
_1.ptx 222 : 65792 748896 0 0 0 0 0 0 0 
_1.ptx 223 : 65792 730464 0 3947 2056 0 0 0 0 
_1.ptx 225 : 65792 739296 0 0 0 0 0 0 0 
_1.ptx 226 : 65792 628736 0 2056 2056 0 0 0 0 
_1.ptx 227 : 65792 500256 0 0 0 0 0 0 0 
_1.ptx 228 : 65792 795936 0 0 0 0 0 0 0 
_1.ptx 229 : 65792 748096 0 0 0 0 0 0 0 
_1.ptx 230 : 65792 716448 0 4093 2056 0 0 0 0 
_1.ptx 232 : 65792 752032 0 0 0 0 0 0 0 
_1.ptx 233 : 65792 646688 0 2056 2056 0 0 0 0 
_1.ptx 234 : 65792 508832 0 0 0 0 0 0 0 
_1.ptx 235 : 65792 734176 0 0 0 0 0 0 0 
_1.ptx 236 : 65792 750176 0 0 0 0 0 0 0 
_1.ptx 237 : 65792 695520 0 3974 2056 0 0 0 0 
_1.ptx 239 : 65792 687744 0 0 0 0 0 0 0 
_1.ptx 240 : 65792 515040 0 0 0 0 0 0 0 
_1.ptx 241 : 65792 456032 0 0 0 0 0 0 0 
_1.ptx 242 : 65792 531584 0 0 0 0 0 0 0 
_1.ptx 243 : 65792 464128 0 0 0 0 0 0 0 
_1.ptx 244 : 65792 529664 0 0 0 0 0 0 0 
_1.ptx 245 : 65792 458368 0 0 0 0 0 0 0 
_1.ptx 246 : 65792 511616 0 0 0 0 0 0 0 
_1.ptx 247 : 65792 786528 0 0 0 0 0 0 0 
_1.ptx 248 : 65792 518496 0 0 0 0 0 0 0 
_1.ptx 250 : 65792 569440 0 0 0 0 0 0 0 
_1.ptx 251 : 65792 571744 0 0 0 0 0 0 0 
_1.ptx 252 : 65792 578720 0 0 0 0 0 0 0 
_1.ptx 253 : 65792 560896 0 0 0 0 0 0 0 
_1.ptx 254 : 65792 387968 0 2056 2056 0 0 0 0 
_1.ptx 256 : 65792 422560 0 0 0 0 0 0 0 
_1.ptx 258 : 65792 581664 0 2056 2056 0 0 0 0 
_1.ptx 259 : 65792 487616 0 0 0 0 0 0 0 
_1.ptx 260 : 65792 861056 0 0 0 0 0 0 0 
_1.ptx 261 : 65792 746752 0 0 0 0 0 0 0 
_1.ptx 262 : 65792 773344 0 4607 2056 0 0 0 0 
_1.ptx 264 : 65792 649216 0 2056 2056 0 0 0 0 
