kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 2097152 63455520 0 131072 65536 0 0 0 0 
_1.ptx 99 : 2097152 13790272 0 0 0 0 0 0 0 
_1.ptx 101 : 2097152 14035520 0 0 0 0 0 0 0 
_1.ptx 102 : 2097152 24078784 0 0 0 0 0 0 0 
_1.ptx 103 : 2097152 25824864 0 0 0 0 0 0 0 
_1.ptx 104 : 2097152 19449280 0 0 0 0 0 0 0 
_1.ptx 105 : 2097152 17612992 0 0 0 0 0 0 0 
_1.ptx 106 : 2097152 18788576 0 0 0 0 0 0 0 
_1.ptx 107 : 2097152 17613056 0 0 0 0 0 0 0 
_1.ptx 108 : 2097152 19019232 0 0 0 0 0 0 0 
_1.ptx 109 : 2097152 15715168 0 0 0 0 0 0 0 
_1.ptx 110 : 2097152 18787968 0 0 0 0 0 0 0 
_1.ptx 111 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 113 : 2097152 17479840 0 0 0 0 0 0 0 
_1.ptx 114 : 2097152 16851616 0 0 0 0 0 0 0 
_1.ptx 115 : 2097152 24707712 0 0 0 0 0 0 0 
_1.ptx 116 : 2097152 24667808 0 0 0 0 0 0 0 
_1.ptx 117 : 2097152 27393792 0 0 0 0 0 0 0 
_1.ptx 118 : 2097152 24521248 0 0 0 0 0 0 0 
_1.ptx 119 : 2097152 56872384 0 131072 65536 0 0 0 0 
_1.ptx 120 : 2097152 40387168 0 0 0 0 0 0 0 
_1.ptx 121 : 2097152 26054912 0 0 0 0 0 0 0 
_1.ptx 122 : 2097152 23952160 0 0 0 0 0 0 0 
_1.ptx 123 : 2097152 16765216 0 0 0 0 0 0 0 
_1.ptx 124 : 2097152 25469664 0 0 0 0 0 0 0 
_1.ptx 125 : 2097152 24409344 0 0 0 0 0 0 0 
_1.ptx 126 : 2097152 221125120 8200640 0 0 131072 65536 0 0 
_1.ptx 129 : 2097152 14022176 0 0 0 0 0 0 0 
_1.ptx 145 : 2097152 12708832 0 0 0 0 0 0 0 
_1.ptx 146 : 2097152 12729472 0 0 0 0 0 0 0 
_1.ptx 147 : 2097152 30394112 0 0 0 0 0 0 0 
_1.ptx 148 : 2097152 12664000 0 0 0 0 0 0 0 
_1.ptx 149 : 2097152 12758976 0 0 0 0 0 0 0 
_1.ptx 150 : 2097152 32519104 0 0 0 0 0 0 0 
_1.ptx 151 : 2097152 12802528 0 0 0 0 0 0 0 
_1.ptx 152 : 2097152 24442624 0 0 0 0 0 0 0 
_1.ptx 153 : 2097152 14842592 0 0 0 0 0 0 0 
_1.ptx 154 : 2097152 23985920 0 0 0 0 0 0 0 
_1.ptx 155 : 2097152 465993472 128 0 0 0 0 0 0 
_1.ptx 156 : 2097152 361406624 0 0 0 0 0 0 0 
_1.ptx 157 : 2097152 17148256 0 0 0 0 0 0 0 
_1.ptx 158 : 2097152 15362112 0 0 0 0 0 0 0 
_1.ptx 159 : 2097152 17169056 0 0 0 0 0 0 0 
_1.ptx 160 : 2097152 15327232 0 0 0 0 0 0 0 
_1.ptx 161 : 2097152 17210144 0 0 0 0 0 0 0 
_1.ptx 64 : 2097152 13723072 0 0 0 0 0 0 0 
_1.ptx 162 : 2097152 13020864 0 0 0 0 0 0 0 
_1.ptx 65 : 2097152 29175008 0 0 0 0 0 0 0 
_1.ptx 163 : 2097152 17083904 0 0 0 0 0 0 0 
_1.ptx 66 : 2097152 13800416 0 0 0 0 0 0 0 
_1.ptx 164 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 67 : 2097152 34840128 0 0 0 0 0 0 0 
_1.ptx 68 : 2097152 13799808 0 0 0 0 0 0 0 
_1.ptx 166 : 2097152 500558368 0 0 0 0 0 0 0 
_1.ptx 69 : 2097152 24043776 0 0 0 0 0 0 0 
_1.ptx 167 : 2097152 24180192 0 0 0 0 0 0 0 
_1.ptx 70 : 2097152 14268096 0 0 0 0 0 0 0 
_1.ptx 168 : 2097152 23295456 0 0 0 0 0 0 0 
_1.ptx 71 : 2097152 23791104 0 0 0 0 0 0 0 
_1.ptx 169 : 2097152 15233408 0 0 0 0 0 0 0 
_1.ptx 72 : 2097152 63497248 0 0 0 0 0 0 0 
_1.ptx 170 : 2097152 22185056 0 0 0 0 0 0 0 
_1.ptx 73 : 2097152 52644576 0 0 0 0 0 0 0 
_1.ptx 171 : 2097152 23250144 0 0 0 0 0 0 0 
_1.ptx 74 : 2097152 18151840 0 0 0 0 0 0 0 
_1.ptx 172 : 2097152 1771374368 8603264 0 0 131072 65536 0 0 
_1.ptx 75 : 2097152 16848416 0 0 0 0 0 0 0 
_1.ptx 76 : 2097152 18205536 0 0 0 0 0 0 0 
_1.ptx 173 : 2097152 469928160 0 0 0 0 0 0 0 
_1.ptx 77 : 2097152 16787872 0 0 0 0 0 0 0 
_1.ptx 174 : 2097152 23914368 0 0 0 0 0 0 0 
_1.ptx 78 : 2097152 18229728 0 0 0 0 0 0 0 
_1.ptx 175 : 2097152 23266464 0 0 0 0 0 0 0 
_1.ptx 79 : 2097152 14444896 0 0 0 0 0 0 0 
_1.ptx 176 : 2097152 15114208 0 0 0 0 0 0 0 
_1.ptx 80 : 2097152 17989120 0 0 0 0 0 0 0 
_1.ptx 177 : 2097152 21967296 0 0 0 0 0 0 0 
_1.ptx 81 : 2097152 0 0 0 0 0 0 0 0 
_1.ptx 178 : 2097152 23247200 0 0 0 0 0 0 0 
_1.ptx 179 : 2097152 1801259616 30267040 0 0 1048576 65536 0 0 
_1.ptx 83 : 2097152 14135104 0 0 0 0 0 0 0 
_1.ptx 84 : 2097152 85729056 0 0 0 0 0 0 0 
_1.ptx 85 : 2097152 25861440 0 0 0 0 0 0 0 
_1.ptx 182 : 2097152 12688576 0 0 0 0 0 0 0 
_1.ptx 86 : 2097152 24096096 0 0 0 0 0 0 0 
_1.ptx 87 : 2097152 16549408 0 0 0 0 0 0 0 
_1.ptx 88 : 2097152 24592160 0 0 0 0 0 0 0 
_1.ptx 89 : 2097152 24012992 0 0 0 0 0 0 0 
_1.ptx 90 : 2097152 973754016 8481024 0 0 131072 65536 0 0 
_1.ptx 91 : 2097152 16714784 0 0 0 0 0 0 0 
_1.ptx 92 : 2097152 16713504 0 0 0 0 0 0 0 
_1.ptx 93 : 2097152 24575360 0 0 0 0 0 0 0 
_1.ptx 94 : 2097152 24100032 0 0 0 0 0 0 0 
_1.ptx 95 : 2097152 24401504 0 0 0 0 0 0 0 
_1.ptx 96 : 2097152 23944832 0 0 0 0 0 0 0 
