kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 1636 : 32768 381600 0 0 0 0 0 0 0 
_1.ptx 1637 : 32768 380192 0 0 0 0 0 0 0 
_1.ptx 1638 : 32768 380896 0 0 0 0 0 0 0 
_1.ptx 1639 : 32768 384864 0 0 0 0 0 0 0 
_1.ptx 1641 : 32768 384608 0 0 0 0 0 0 0 
_1.ptx 1642 : 32768 331488 0 0 0 0 0 0 0 
_1.ptx 1643 : 32768 401312 0 0 0 0 0 0 0 
_1.ptx 1644 : 32768 387776 0 0 0 0 0 0 0 
_1.ptx 1645 : 32768 325472 0 0 0 0 0 0 0 
_1.ptx 1647 : 32768 390464 0 0 0 0 0 0 0 
_1.ptx 1648 : 32768 108992 0 0 0 0 0 0 0 
_1.ptx 1649 : 32768 382848 0 0 0 0 0 0 0 
_1.ptx 1650 : 32768 381312 0 0 0 0 0 0 0 
_1.ptx 1651 : 32768 180352 0 1024 1024 0 0 0 0 
_1.ptx 1653 : 32768 376384 0 0 0 0 0 0 0 
_1.ptx 1654 : 32768 376128 0 0 0 0 0 0 0 
_1.ptx 1655 : 32768 181472 0 1024 1024 0 0 0 0 
_1.ptx 1657 : 32768 375744 0 0 0 0 0 0 0 
_1.ptx 1658 : 32768 375296 0 0 0 0 0 0 0 
_1.ptx 1659 : 32768 379520 0 0 0 0 0 0 0 
_1.ptx 1660 : 32768 181920 0 1024 1024 0 0 0 0 
_1.ptx 1662 : 32768 376000 0 0 0 0 0 0 0 
_1.ptx 1663 : 32768 380256 0 0 0 0 0 0 0 
_1.ptx 1664 : 32768 181984 0 1024 1024 0 0 0 0 
_1.ptx 1666 : 32768 374112 0 0 0 0 0 0 0 
_1.ptx 1667 : 32768 377696 0 0 0 0 0 0 0 
_1.ptx 1668 : 32768 377376 0 0 0 0 0 0 0 
_1.ptx 1669 : 32768 183872 0 1024 1024 0 0 0 0 
_1.ptx 1671 : 32768 374368 0 0 0 0 0 0 0 
_1.ptx 1672 : 32768 379968 0 0 0 0 0 0 0 
_1.ptx 1673 : 32768 379072 0 0 0 0 0 0 0 
_1.ptx 1674 : 32768 189408 0 1024 1024 0 0 0 0 
_1.ptx 1676 : 32768 373024 0 0 0 0 0 0 0 
_1.ptx 1677 : 32768 382528 0 0 0 0 0 0 0 
_1.ptx 1678 : 32768 189632 0 1024 1024 0 0 0 0 
_1.ptx 1680 : 32768 376224 0 0 0 0 0 0 0 
_1.ptx 1681 : 32768 379104 0 0 0 0 0 0 0 
_1.ptx 1682 : 32768 185440 0 1024 1024 0 0 0 0 
_1.ptx 1684 : 32768 375776 0 0 0 0 0 0 0 
_1.ptx 1685 : 32768 367360 0 0 0 0 0 0 0 
_1.ptx 1686 : 32768 273920 0 0 0 0 0 0 0 
_1.ptx 1687 : 32768 384608 0 0 0 0 0 0 0 
_1.ptx 1688 : 32768 274720 0 0 0 0 0 0 0 
_1.ptx 1689 : 32768 382432 0 0 0 0 0 0 0 
_1.ptx 1690 : 32768 359968 0 0 0 0 0 0 0 
_1.ptx 1691 : 32768 377504 0 0 0 0 0 0 0 
_1.ptx 1692 : 32768 295296 0 1024 1024 0 0 0 0 
_1.ptx 1693 : 32768 295072 0 1024 1024 0 0 0 0 
