kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 68638 0 0 0 0 0 0 0 0 
_1.ptx 98 : 68638 6644173 0 0 0 0 0 0 0 
_1.ptx 99 : 68638 487396 0 0 0 0 0 0 0 
_1.ptx 100 : 68638 698178 0 0 0 0 0 0 0 
_1.ptx 101 : 68638 758385 0 0 0 0 0 0 0 
_1.ptx 105 : 414458 212390415 3670400 0 0 204335 58459 0 0 
_1.ptx 106 : 414458 2914810 0 0 0 0 0 0 0 
_1.ptx 107 : 414458 4566140 0 0 0 0 0 0 0 
_1.ptx 108 : 414458 258035802 66176 0 0 413033 58459 0 0 
_1.ptx 109 : 414458 2505467 0 0 0 0 0 0 0 
_1.ptx 110 : 414458 3321884 0 0 0 0 0 0 0 
_1.ptx 111 : 414458 1405410 0 0 0 0 0 0 26650 
_1.ptx 113 : 180834 14894440 0 0 0 0 0 0 0 
_1.ptx 114 : 180834 1833633 0 0 0 0 0 0 0 
_1.ptx 115 : 180834 1996036 0 0 0 0 0 0 0 
_1.ptx 116 : 180834 55922603 40448 0 0 39936 39936 0 0 
_1.ptx 117 : 180834 1816098 0 0 0 0 0 0 0 
_1.ptx 118 : 180834 1828663 0 0 0 0 0 0 0 
_1.ptx 119 : 180834 1993751 0 0 0 0 0 0 0 
_1.ptx 120 : 180834 27852914 164640 0 0 180456 39936 0 0 
_1.ptx 122 : 180834 1092397 0 0 0 0 0 0 0 
_1.ptx 123 : 180834 1996256 0 0 0 0 0 0 0 
_1.ptx 124 : 180834 32549640 8800 0 0 180456 39936 0 0 
_1.ptx 126 : 180834 1093259 0 0 0 0 0 0 0 
_1.ptx 127 : 180834 24197601 0 0 0 0 0 0 0 
_1.ptx 128 : 180834 15944440 32 0 0 39936 39936 0 0 
_1.ptx 129 : 180834 62979817 66048 0 0 62844 39936 0 0 
_1.ptx 130 : 180834 53740048 384 0 0 62844 39936 0 0 
_1.ptx 131 : 180834 1995414 0 0 0 0 0 0 0 
_1.ptx 134 : 414458 4160936 0 0 0 0 0 0 0 
_1.ptx 135 : 414458 4163940 0 0 0 0 0 0 0 
_1.ptx 136 : 414458 3329558 0 0 0 0 0 0 0 
_1.ptx 137 : 414458 2081707 0 0 0 0 0 0 25941 
_1.ptx 141 : 589824 3704768 0 0 0 0 0 0 0 
_1.ptx 66 : 589824 3726432 0 0 0 0 0 0 0 
_1.ptx 67 : 589824 9071680 0 0 0 0 0 0 0 
_1.ptx 68 : 589824 4183712 0 0 0 0 0 0 0 
_1.ptx 69 : 589824 6972096 0 0 0 0 0 0 0 
_1.ptx 70 : 589824 11258496 128 0 0 0 0 0 0 
_1.ptx 71 : 589824 4868032 0 0 0 0 0 0 0 
_1.ptx 72 : 589824 0 0 0 0 0 0 0 0 
_1.ptx 73 : 589824 4610208 0 0 0 0 0 0 0 
_1.ptx 74 : 589824 7586208 0 0 0 0 0 0 0 
_1.ptx 75 : 589824 6566816 0 0 0 0 0 0 0 
_1.ptx 76 : 589824 128973824 105984 0 0 18432 18432 0 0 
_1.ptx 77 : 589824 3632224 0 0 0 0 0 0 0 
_1.ptx 78 : 589824 4875008 0 0 0 0 0 0 0 
_1.ptx 79 : 589824 3369688 0 0 0 0 0 0 6335 
_1.ptx 81 : 68638 420620 0 0 0 0 0 0 0 
_1.ptx 82 : 68638 4492813 96 0 0 6335 6335 0 0 
_1.ptx 84 : 68638 3925800 0 0 0 0 0 0 0 
_1.ptx 85 : 68638 419196 0 0 0 0 0 0 0 
_1.ptx 86 : 68638 760149 0 0 0 0 0 0 0 
_1.ptx 87 : 68638 5175000 64 0 0 6335 6335 0 0 
_1.ptx 89 : 68638 4634564 0 0 0 0 0 0 0 
_1.ptx 90 : 68638 696149 0 0 0 0 0 0 0 
_1.ptx 91 : 68638 760121 0 0 0 0 0 0 0 
_1.ptx 92 : 68638 42794313 1403520 0 0 11102 6335 0 0 
_1.ptx 93 : 68638 482789 0 0 0 0 0 0 0 
_1.ptx 94 : 68638 11143692 3840 0 0 11102 6335 0 0 
_1.ptx 95 : 68638 757868 0 0 0 0 0 0 0 
_1.ptx 96 : 68638 553489 0 0 0 0 0 0 0 
