kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 67 : 11796480 71260800 0 0 0 0 0 0 0 
_1.ptx 68 : 11796480 124535488 0 0 0 0 0 0 0 
_1.ptx 69 : 11796480 72092640 0 0 0 0 0 0 0 
_1.ptx 70 : 11796480 125775552 0 0 0 0 0 0 0 
_1.ptx 71 : 11796480 72921792 0 0 0 0 0 0 0 
_1.ptx 72 : 11796480 74391552 0 0 0 0 0 0 0 
_1.ptx 73 : 11796480 132979616 0 0 0 0 0 0 0 
_1.ptx 74 : 11796480 133180512 0 0 0 0 0 0 0 
_1.ptx 75 : 11796480 76440288 0 0 0 0 0 0 0 
_1.ptx 76 : 11796480 91112928 0 0 0 0 0 0 0 
_1.ptx 77 : 11796480 87090784 0 0 0 0 0 0 0 
_1.ptx 78 : 11796480 124640096 0 0 0 0 0 0 0 
_1.ptx 79 : 11796480 132330016 0 0 0 0 0 0 0 
_1.ptx 80 : 11796480 123407136 0 0 0 0 0 0 0 
_1.ptx 81 : 11796480 131917600 0 0 0 0 0 0 0 
_1.ptx 82 : 11796480 65763936 128 0 0 0 0 0 0 
_1.ptx 83 : 11796480 135762176 0 0 0 0 0 0 0 
_1.ptx 84 : 11796480 132044640 0 0 0 0 0 0 0 
_1.ptx 85 : 11796480 85452288 0 0 0 0 0 0 0 
_1.ptx 86 : 11796480 123699328 0 0 0 0 0 0 0 
_1.ptx 87 : 11796480 65076640 0 0 0 0 0 0 0 
_1.ptx 88 : 11796480 131565760 0 0 0 0 0 0 0 
_1.ptx 89 : 11796480 3694161664 94150400 0 0 737280 368640 0 0 
_1.ptx 90 : 11796480 87731136 0 737280 368640 0 0 0 0 
_1.ptx 91 : 11796480 87634688 0 0 0 737280 368640 0 0 
_1.ptx 92 : 11796480 87168608 0 737280 368640 0 0 0 0 
_1.ptx 93 : 11796480 3670678944 87193472 0 0 737280 368640 0 0 
_1.ptx 94 : 11796480 87231616 0 737280 368640 0 0 0 0 
_1.ptx 95 : 11796480 87425376 0 0 0 737280 368640 0 0 
_1.ptx 96 : 11796480 87360288 0 737280 368640 0 0 0 0 
_1.ptx 97 : 11796480 120343776 0 0 0 0 0 0 0 
_1.ptx 98 : 11796480 71664992 0 0 0 0 0 0 0 
_1.ptx 99 : 11796480 95693760 0 0 0 0 0 0 0 
_1.ptx 100 : 11796480 1482368 0 0 0 0 0 0 0 
_1.ptx 102 : 11550720 2028789856 7178368 0 0 721920 360960 0 0 
_1.ptx 103 : 11550720 69641056 0 0 0 0 0 0 0 
_1.ptx 105 : 245760 1481312 0 0 0 0 0 0 0 
_1.ptx 107 : 11796480 87155648 0 737280 368640 0 0 0 0 
_1.ptx 108 : 11796480 71099840 0 0 0 0 0 0 0 
_1.ptx 109 : 11796480 131415040 0 0 0 0 0 0 0 
_1.ptx 110 : 11796480 120329856 0 0 0 0 0 0 0 
_1.ptx 111 : 11796480 71532288 0 0 0 0 0 0 0 
_1.ptx 112 : 11796480 96089568 0 0 0 0 0 0 0 
_1.ptx 113 : 11796480 1483616 0 0 0 0 0 0 0 
_1.ptx 115 : 11550720 1844707712 221440 0 0 721920 360960 0 0 
_1.ptx 116 : 11550720 69597440 0 0 0 0 0 0 0 
_1.ptx 118 : 245760 1480128 0 0 0 0 0 0 0 
_1.ptx 120 : 11796480 85836000 0 737280 368640 0 0 0 0 
_1.ptx 122 : 11796480 71209536 0 0 0 0 0 0 0 
_1.ptx 124 : 11796480 71396640 0 0 0 0 0 0 0 
_1.ptx 125 : 11796480 70309824 128 0 0 0 0 0 0 
_1.ptx 126 : 11796480 130599552 0 737280 368640 0 0 0 0 
_1.ptx 127 : 11796480 106910720 0 0 0 0 0 0 0 
_1.ptx 128 : 11796480 70519456 0 0 0 0 0 0 0 
_1.ptx 129 : 11796480 129093920 0 737280 368640 0 0 0 0 
_1.ptx 130 : 11796480 107077728 0 0 0 0 0 0 0 
_1.ptx 131 : 11796480 68292832 0 0 0 0 0 0 0 
_1.ptx 132 : 11796480 128334944 0 737280 368640 0 0 0 0 
_1.ptx 133 : 11796480 107042464 0 0 0 0 0 0 0 
_1.ptx 134 : 11796480 69209792 0 0 0 0 0 0 0 
_1.ptx 135 : 11796480 128598816 0 737280 368640 0 0 0 0 
_1.ptx 136 : 11796480 107063200 0 0 0 0 0 0 0 
_1.ptx 137 : 11796480 67663808 0 0 0 0 0 0 0 
_1.ptx 138 : 11796480 127960928 0 737280 368640 0 0 0 0 
_1.ptx 139 : 11796480 106985056 0 0 0 0 0 0 0 
_1.ptx 140 : 11796480 68424320 0 0 0 0 0 0 0 
_1.ptx 141 : 11796480 128774080 0 737280 368640 0 0 0 0 
_1.ptx 142 : 11796480 106960352 0 0 0 0 0 0 0 
_1.ptx 143 : 11796480 67733312 0 0 0 0 0 0 0 
_1.ptx 144 : 11796480 129095040 0 737280 368640 0 0 0 0 
_1.ptx 145 : 11796480 106986528 0 0 0 0 0 0 0 
_1.ptx 146 : 11796480 69794752 0 0 0 0 0 0 0 
_1.ptx 147 : 11796480 129223040 0 737280 368640 0 0 0 0 
_1.ptx 148 : 11796480 107016864 0 0 0 0 0 0 0 
_1.ptx 149 : 11796480 68585312 0 0 0 0 0 0 0 
_1.ptx 150 : 11796480 128574624 0 737280 368640 0 0 0 0 
_1.ptx 151 : 11796480 106987296 0 0 0 0 0 0 0 
_1.ptx 152 : 11796480 69776128 0 0 0 0 0 0 0 
_1.ptx 153 : 11796480 128974016 0 737280 368640 0 0 0 0 
_1.ptx 154 : 11796480 106994912 0 0 0 0 0 0 0 
_1.ptx 155 : 11796480 68200352 0 0 0 0 0 0 0 
_1.ptx 156 : 11796480 128559744 0 737280 368640 0 0 0 0 
_1.ptx 157 : 11796480 106937728 0 0 0 0 0 0 0 
