kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 824 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 825 : 4096 60672 0 0 0 0 0 0 0 
_1.ptx 826 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 827 : 4096 45536 0 0 0 0 0 0 0 
_1.ptx 828 : 4096 29344 0 0 0 0 0 0 0 
_1.ptx 829 : 4096 24608 0 0 0 0 0 0 0 
_1.ptx 830 : 4096 33248 0 0 0 0 0 0 0 
_1.ptx 831 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 832 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 833 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 834 : 4096 32800 0 0 0 0 0 0 0 
_1.ptx 835 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 836 : 4096 25984 0 0 0 0 0 0 0 
_1.ptx 837 : 4096 35072 0 0 0 0 0 0 0 
_1.ptx 838 : 4096 48064 0 0 0 0 0 0 0 
_1.ptx 839 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 840 : 4096 29984 0 0 0 0 0 0 0 
_1.ptx 841 : 4096 36832 0 0 0 0 0 0 0 
_1.ptx 842 : 4096 35424 0 0 0 0 0 0 0 
_1.ptx 843 : 4096 45504 0 0 0 0 0 0 0 
_1.ptx 844 : 4096 30432 0 0 0 0 0 0 0 
_1.ptx 845 : 4096 51488 0 0 0 0 0 0 0 
_1.ptx 846 : 4096 30432 0 0 0 0 0 0 0 
_1.ptx 847 : 4096 36000 0 0 0 0 0 0 0 
_1.ptx 848 : 4096 46336 0 0 0 0 0 0 0 
_1.ptx 849 : 4096 33888 0 0 0 0 0 0 0 
_1.ptx 850 : 4096 46080 0 0 0 0 0 0 0 
_1.ptx 851 : 4096 30528 0 0 0 0 0 0 0 
_1.ptx 852 : 4096 25856 0 0 0 0 0 0 0 
_1.ptx 853 : 4096 34176 0 0 0 0 0 0 0 
_1.ptx 854 : 4096 26976 0 0 0 0 0 0 0 
_1.ptx 855 : 4096 34688 0 0 0 0 0 0 0 
_1.ptx 856 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 857 : 4096 47040 0 0 0 0 0 0 0 
_1.ptx 858 : 4096 44288 0 0 0 0 0 0 0 
_1.ptx 859 : 4096 12288 0 0 0 0 0 0 0 
_1.ptx 860 : 4096 46624 0 0 0 0 0 0 0 
_1.ptx 861 : 4096 29344 0 0 0 0 0 0 0 
_1.ptx 862 : 4096 30464 0 0 0 0 0 0 0 
_1.ptx 863 : 4096 30208 0 0 0 0 0 0 0 
_1.ptx 864 : 4096 30528 0 0 0 0 0 0 0 
_1.ptx 865 : 4096 28704 0 0 0 0 0 0 0 
_1.ptx 866 : 4096 29664 0 0 0 0 0 0 0 
_1.ptx 867 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 868 : 4096 24576 0 0 0 0 0 0 0 
_1.ptx 869 : 4096 25568 0 0 0 0 0 0 0 
_1.ptx 870 : 4096 25344 0 0 0 0 0 0 0 
_1.ptx 873 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 874 : 4096 29120 0 0 0 0 0 0 0 
_1.ptx 875 : 4096 26528 0 0 0 0 0 0 0 
_1.ptx 876 : 4096 26432 0 0 0 0 0 0 0 
_1.ptx 877 : 4096 25056 0 0 0 0 0 0 0 
_1.ptx 878 : 4096 29664 0 0 0 0 0 0 0 
_1.ptx 882 : 327680 1971808 0 0 0 0 0 0 0 
_1.ptx 883 : 327680 31309024 1310720 0 0 0 0 0 0 
_1.ptx 885 : 327680 1969376 0 0 0 0 0 0 0 
_1.ptx 886 : 327680 31636832 1310720 0 0 0 0 0 0 
_1.ptx 887 : 327680 3284672 0 0 0 0 0 0 0 
_1.ptx 888 : 327680 3285440 0 0 0 0 0 0 0 
_1.ptx 889 : 327680 3295584 0 0 0 0 0 0 0 
_1.ptx 890 : 327680 2632096 0 0 0 0 0 0 0 
_1.ptx 891 : 327680 1952096 0 0 0 0 0 0 0 
_1.ptx 894 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 895 : 4096 28736 0 0 0 0 0 0 0 
_1.ptx 896 : 4096 24768 0 0 0 0 0 0 0 
_1.ptx 897 : 4096 24672 0 0 0 0 0 0 0 
_1.ptx 898 : 4096 24704 0 0 0 0 0 0 0 
_1.ptx 899 : 4096 28704 0 0 0 0 0 0 0 
_1.ptx 903 : 327680 134783392 1309952 0 0 0 0 0 0 
_1.ptx 904 : 327680 4488800 1178112 0 0 0 0 0 0 
_1.ptx 905 : 327680 3287008 0 0 0 0 0 0 0 
_1.ptx 906 : 327680 3285952 0 0 0 0 0 0 0 
_1.ptx 907 : 327680 3307680 0 0 0 0 0 0 0 
_1.ptx 908 : 327680 2632448 0 0 0 0 0 0 0 
_1.ptx 909 : 327680 1956672 0 0 0 0 0 0 0 
_1.ptx 911 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 912 : 4096 29536 0 0 0 0 0 0 0 
_1.ptx 913 : 4096 26784 0 0 0 0 0 0 0 
_1.ptx 914 : 4096 29248 0 0 0 0 0 0 0 
_1.ptx 918 : 163840 1780096 0 0 0 0 0 0 0 
_1.ptx 919 : 163840 1317152 0 0 0 0 0 0 0 
_1.ptx 920 : 163840 1442240 0 0 0 0 0 0 0 
_1.ptx 921 : 163840 0 0 0 0 0 0 0 0 
_1.ptx 922 : 163840 1936064 0 0 0 0 0 0 0 
_1.ptx 923 : 163840 1796544 0 0 0 0 0 0 0 
_1.ptx 924 : 163840 492992 0 0 0 0 0 0 0 
_1.ptx 925 : 163840 2646240 0 0 0 0 0 0 0 
_1.ptx 926 : 163840 3057440 0 0 0 0 0 0 0 
_1.ptx 927 : 163840 1886144 0 0 0 0 0 0 0 
_1.ptx 928 : 163840 1317600 0 0 0 0 0 0 0 
_1.ptx 929 : 163840 1956544 0 0 0 0 0 0 0 
_1.ptx 930 : 163840 1896480 0 0 0 0 0 0 0 
_1.ptx 931 : 163840 1320576 0 0 0 0 0 0 0 
_1.ptx 932 : 163840 1873056 0 0 0 0 0 0 0 
_1.ptx 933 : 163840 1891968 0 0 0 0 0 0 0 
_1.ptx 934 : 163840 50258592 655360 0 0 0 0 0 0 
_1.ptx 935 : 163840 1894560 0 0 0 0 0 0 0 
_1.ptx 936 : 163840 1318432 0 0 0 0 0 0 0 
_1.ptx 937 : 163840 1243104 0 0 0 0 0 0 0 
_1.ptx 938 : 163840 1332384 0 0 0 0 0 0 0 
_1.ptx 942 : 9748480 112827392 0 0 0 0 0 0 0 
_1.ptx 943 : 9748480 77608896 0 0 0 0 0 0 0 
_1.ptx 944 : 9748480 113761280 0 0 0 0 0 0 0 
_1.ptx 945 : 9748480 113438400 0 0 0 0 0 0 0 
_1.ptx 946 : 9748480 40184928 0 0 0 0 0 0 0 
_1.ptx 948 : 9748480 112393632 0 0 0 0 0 0 0 
_1.ptx 949 : 9748480 1062191808 8178560 0 0 0 0 0 0 
_1.ptx 950 : 9748480 113402752 0 0 0 0 0 0 0 
_1.ptx 951 : 9748480 113775104 0 0 0 0 0 0 0 
_1.ptx 952 : 9748480 77201792 0 0 0 0 0 0 0 
_1.ptx 953 : 9748480 70327008 0 0 0 0 0 0 0 
_1.ptx 954 : 9748480 152508864 0 0 0 0 0 0 0 
_1.ptx 955 : 9748480 76233728 0 0 0 0 0 0 0 
_1.ptx 956 : 9748480 469852256 0 0 0 0 0 0 0 
_1.ptx 957 : 9748480 112761504 0 0 0 0 0 0 0 
_1.ptx 959 : 9748480 113603392 0 0 0 0 0 0 0 
_1.ptx 960 : 9748480 77886208 0 0 0 0 0 0 0 
_1.ptx 961 : 9748480 79589120 0 0 0 0 0 0 0 
_1.ptx 962 : 9748480 80174368 0 0 0 0 0 0 0 
_1.ptx 963 : 9748480 74777216 0 0 0 0 0 0 0 
_1.ptx 964 : 9748480 152718976 0 0 0 0 0 0 0 
_1.ptx 965 : 9748480 150871840 0 0 0 0 0 0 0 
_1.ptx 966 : 9748480 159080608 0 0 0 0 0 0 0 
_1.ptx 967 : 9748480 76456640 0 0 0 0 0 0 0 
_1.ptx 968 : 9748480 68538464 0 0 0 0 0 0 0 
_1.ptx 969 : 9748480 115802976 0 0 0 0 0 0 0 
_1.ptx 970 : 9748480 156685344 0 0 0 0 0 0 0 
_1.ptx 971 : 9748480 113348096 0 0 0 0 0 0 0 
_1.ptx 972 : 9748480 50217600 0 0 0 0 0 0 0 
_1.ptx 974 : 9748480 112314784 0 0 0 0 0 0 0 
_1.ptx 975 : 9748480 77607904 0 0 0 0 0 0 0 
_1.ptx 976 : 9748480 115282080 0 0 0 0 0 0 0 
_1.ptx 977 : 9748480 112171424 0 0 0 0 0 0 0 
_1.ptx 978 : 9748480 49743456 38993920 0 0 0 0 0 0 
_1.ptx 979 : 9748480 103453120 0 0 0 0 0 0 0 
_1.ptx 980 : 9748480 104181568 0 0 0 0 0 0 0 
_1.ptx 981 : 9748480 84804256 0 0 0 0 0 0 0 
_1.ptx 982 : 9748480 66274784 0 0 0 0 0 0 0 
_1.ptx 984 : 163840 1305440 0 0 0 0 0 0 0 
_1.ptx 985 : 163840 1438976 0 0 0 0 0 0 0 
_1.ptx 986 : 163840 1127008 0 0 0 0 0 0 0 
_1.ptx 989 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 990 : 4096 32224 0 0 0 0 0 0 0 
_1.ptx 991 : 4096 32608 0 0 0 0 0 0 0 
_1.ptx 992 : 4096 33088 0 0 0 0 0 0 0 
_1.ptx 993 : 4096 30176 0 0 0 0 0 0 0 
_1.ptx 994 : 4096 28768 0 0 0 0 0 0 0 
_1.ptx 995 : 4096 80224 0 0 0 0 0 0 0 
_1.ptx 996 : 4096 46464 0 0 0 0 0 0 0 
_1.ptx 997 : 4096 12544 0 0 0 0 0 0 0 
_1.ptx 998 : 4096 27264 0 0 0 0 0 0 0 
_1.ptx 999 : 4096 29024 0 0 0 0 0 0 0 
_1.ptx 1000 : 4096 33664 0 0 0 0 0 0 0 
_1.ptx 1004 : 163840 1253824 0 0 0 0 0 0 0 
_1.ptx 1005 : 163840 2607456 1664 0 0 0 0 0 0 
_1.ptx 1006 : 163840 1858080 0 0 0 0 0 0 0 
_1.ptx 1007 : 163840 1237856 0 0 0 0 0 0 0 
_1.ptx 1008 : 163840 1100768 0 0 0 0 0 0 0 
_1.ptx 1009 : 163840 2533152 0 0 0 0 0 0 0 
_1.ptx 1010 : 163840 1239840 0 0 0 0 0 0 0 
_1.ptx 1011 : 163840 9851264 0 0 0 0 0 0 0 
_1.ptx 1013 : 163840 1528544 0 0 0 0 0 0 0 
_1.ptx 1015 : 163840 850560 655360 0 0 0 0 0 0 
_1.ptx 1017 : 163840 831872 655360 0 0 0 0 0 0 
_1.ptx 1018 : 163840 1712000 0 0 0 0 0 0 0 
_1.ptx 1019 : 163840 1730080 0 0 0 0 0 0 0 
_1.ptx 1020 : 163840 1733824 0 0 0 0 0 0 0 
_1.ptx 1021 : 163840 1755392 0 0 0 0 0 0 0 
_1.ptx 1022 : 163840 1408352 0 0 0 0 0 0 0 
_1.ptx 1023 : 163840 1043840 0 0 0 0 0 0 0 
_1.ptx 1025 : 4096 0 0 0 0 0 0 0 0 
_1.ptx 1026 : 4096 31328 0 0 0 0 0 0 0 
_1.ptx 1027 : 4096 28768 0 0 0 0 0 0 0 
