kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 823 : 509868 3068720 0 0 0 0 0 0 1125 
_1.ptx 825 : 74702 593029 0 0 0 0 0 0 0 
_1.ptx 827 : 74702 614413 0 0 0 0 0 0 0 
_1.ptx 829 : 509868 5583661 0 0 0 0 0 0 0 
_1.ptx 830 : 509868 5621087 0 0 0 0 0 0 0 
_1.ptx 831 : 509868 3770840 0 0 0 0 0 0 0 
_1.ptx 832 : 509868 4484616 0 0 0 0 0 0 0 
_1.ptx 833 : 509868 2672606 0 0 0 0 0 0 0 
_1.ptx 834 : 127467 908818 0 0 0 0 0 0 0 
_1.ptx 835 : 127467 1104324 0 0 0 0 0 0 0 
_1.ptx 836 : 127467 1027519 0 0 0 0 0 0 0 
_1.ptx 837 : 127467 899927 0 0 0 0 0 0 0 
_1.ptx 838 : 127467 1102863 0 0 0 0 0 0 0 
_1.ptx 839 : 127467 1008799 0 0 0 0 0 0 0 
_1.ptx 840 : 127467 1104317 0 0 0 0 0 0 0 
_1.ptx 841 : 127467 896463 0 0 0 0 0 0 0 
_1.ptx 842 : 127467 1096622 0 0 0 0 0 0 0 
_1.ptx 843 : 127467 444530 0 0 0 0 0 0 631 
_1.ptx 845 : 62282 687949 0 0 0 0 0 0 0 
_1.ptx 847 : 62282 514496 0 0 0 0 0 0 0 
_1.ptx 848 : 62282 498449 0 0 0 0 0 0 0 
_1.ptx 849 : 62282 774056 0 0 0 0 0 0 0 
_1.ptx 850 : 62282 717144 0 0 0 0 0 0 0 
_1.ptx 851 : 62282 284636 0 0 0 2349 2349 0 0 
_1.ptx 852 : 62282 290156 0 0 0 2349 2349 0 0 
_1.ptx 853 : 62282 288493 0 0 0 2544 2349 0 0 
_1.ptx 854 : 62282 294838 0 0 0 2544 2349 0 0 
_1.ptx 855 : 62282 283079 0 0 0 2544 2349 0 0 
_1.ptx 856 : 62282 292503 0 0 0 2544 2349 0 0 
_1.ptx 857 : 62282 284508 0 0 0 2544 2349 0 0 
_1.ptx 859 : 62282 706181 0 0 0 0 0 0 0 
_1.ptx 860 : 62282 707321 0 0 0 0 0 0 0 
_1.ptx 861 : 62282 709827 0 0 0 0 0 0 0 
_1.ptx 862 : 62282 722496 0 0 0 0 0 0 0 
_1.ptx 863 : 62282 727774 0 0 0 0 0 0 0 
_1.ptx 864 : 62282 728192 0 0 0 0 0 0 0 
_1.ptx 865 : 62282 311107 0 0 0 2544 2349 0 0 
_1.ptx 866 : 62282 456141 0 0 0 0 0 0 0 
_1.ptx 867 : 62282 544271 0 0 0 0 0 0 0 
_1.ptx 868 : 62282 131153 0 0 0 0 0 0 305 
_1.ptx 870 : 43133 312096 0 0 0 0 0 0 0 
_1.ptx 871 : 43133 303301 0 0 0 0 0 0 0 
_1.ptx 872 : 43133 308071 0 0 0 0 0 0 0 
_1.ptx 873 : 43133 299112 0 0 0 0 0 0 0 
_1.ptx 875 : 19149 61474 0 0 0 0 0 0 0 
_1.ptx 876 : 19149 221670 0 0 0 0 0 0 0 
_1.ptx 877 : 19149 220613 0 0 0 0 0 0 0 
_1.ptx 878 : 19149 223515 0 0 0 0 0 0 0 
_1.ptx 879 : 19149 224194 0 0 0 0 0 0 0 
_1.ptx 880 : 19149 226545 0 0 0 0 0 0 0 
_1.ptx 881 : 19149 184835 0 0 0 0 0 0 0 
_1.ptx 882 : 19149 184941 0 0 0 0 0 0 0 
_1.ptx 883 : 19149 668066 0 0 0 0 0 0 0 
_1.ptx 884 : 19149 258837 0 0 0 0 0 0 0 
_1.ptx 885 : 19149 250527 0 0 0 0 0 0 0 
_1.ptx 886 : 19149 248904 0 0 0 0 0 0 0 
_1.ptx 888 : 62282 738273 0 0 0 0 0 0 0 
_1.ptx 889 : 62282 738090 0 0 0 0 0 0 0 
_1.ptx 890 : 62282 757993 0 0 0 0 0 0 0 
_1.ptx 891 : 62282 789944 0 0 0 0 0 0 0 
_1.ptx 892 : 62282 622954 0 0 0 0 0 0 0 
_1.ptx 893 : 62282 613664 0 0 0 0 0 0 0 
_1.ptx 894 : 62282 2020492 0 0 0 0 0 0 0 
_1.ptx 895 : 62282 734494 0 0 0 0 0 0 0 
_1.ptx 896 : 62282 746288 0 0 0 0 0 0 0 
_1.ptx 897 : 62282 748020 0 0 0 0 0 0 0 
_1.ptx 898 : 62282 719174 0 0 0 0 0 0 0 
_1.ptx 899 : 62282 599742 0 0 0 0 0 0 0 
_1.ptx 900 : 62282 597786 0 0 0 0 0 0 0 
_1.ptx 901 : 62282 430307 0 0 0 0 0 0 0 
_1.ptx 902 : 62282 540034 0 0 0 0 0 0 0 
_1.ptx 903 : 62282 435296 0 0 0 0 0 0 0 
_1.ptx 910 : 62282 486387 0 0 0 0 0 0 0 
_1.ptx 911 : 62282 490281 0 0 0 0 0 0 0 
_1.ptx 912 : 62282 500012 0 0 0 0 0 0 0 
_1.ptx 915 : 62282 445864 0 0 0 0 0 0 0 
_1.ptx 916 : 62282 721757 0 0 0 0 0 0 0 
_1.ptx 917 : 62282 489020 0 0 0 0 0 0 0 
_1.ptx 918 : 62282 966324 0 0 0 0 0 0 0 
_1.ptx 919 : 62282 709051 0 0 0 0 0 0 0 
_1.ptx 920 : 62282 592991 20288 0 0 0 0 0 0 
_1.ptx 921 : 62282 413640 0 0 0 0 0 0 0 
_1.ptx 922 : 62282 713887 0 0 0 0 0 0 0 
_1.ptx 923 : 62282 798259 44928 0 0 0 0 0 0 
_1.ptx 924 : 62282 410258 0 0 0 0 0 0 0 
_1.ptx 925 : 62282 710669 0 0 0 0 0 0 0 
_1.ptx 926 : 62282 971092 21536 0 0 0 0 0 0 
_1.ptx 927 : 62282 405725 0 0 0 0 0 0 0 
_1.ptx 928 : 62282 722051 0 0 0 0 0 0 0 
_1.ptx 929 : 62282 986448 12704 0 0 0 0 0 0 
_1.ptx 931 : 62282 409703 0 0 0 0 0 0 0 
_1.ptx 932 : 62282 715420 0 0 0 0 0 0 0 
_1.ptx 933 : 62282 422834 0 0 0 0 0 0 0 
_1.ptx 934 : 62282 714375 0 0 0 0 0 0 0 
_1.ptx 935 : 62282 421982 0 0 0 0 0 0 0 
_1.ptx 936 : 62282 729766 0 0 0 0 0 0 0 
_1.ptx 937 : 62282 767273 0 0 0 0 0 0 0 
_1.ptx 938 : 62282 608799 0 0 0 0 0 0 0 
_1.ptx 939 : 62282 601292 0 0 0 0 0 0 0 
_1.ptx 940 : 62282 2413069 0 0 0 0 0 0 0 
_1.ptx 941 : 62282 759132 0 0 0 0 0 0 0 
_1.ptx 942 : 62282 757397 0 0 0 0 0 0 0 
_1.ptx 943 : 62282 777884 0 0 0 0 0 0 0 
_1.ptx 944 : 62282 777058 0 0 0 0 0 0 0 
_1.ptx 945 : 62282 601133 0 0 0 0 0 0 0 
_1.ptx 946 : 62282 601719 0 0 0 0 0 0 0 
_1.ptx 947 : 62282 438391 0 0 0 0 0 0 0 
_1.ptx 948 : 62282 543807 0 0 0 0 0 0 0 
_1.ptx 949 : 62282 37449 0 0 0 0 0 0 318 
_1.ptx 951 : 56815 450379 0 0 0 0 0 0 0 
_1.ptx 952 : 56815 355421 0 0 0 0 0 0 0 
_1.ptx 955 : 220903 986759 0 0 0 8579 8579 0 0 
_1.ptx 956 : 220903 979453 0 0 0 8579 8579 0 0 
_1.ptx 957 : 220903 960123 0 0 0 8579 8579 0 0 
_1.ptx 958 : 220903 967812 0 0 0 8579 8579 0 0 
_1.ptx 959 : 220903 1479463 0 0 0 0 0 0 0 
_1.ptx 960 : 220903 1890520 0 0 0 0 0 0 0 
_1.ptx 961 : 220903 1141351 0 0 0 0 0 0 0 
_1.ptx 963 : 56815 432793 0 0 0 0 0 0 0 
_1.ptx 964 : 56815 379281 0 0 0 0 0 0 0 
_1.ptx 965 : 56815 477303 0 0 0 0 0 0 0 
_1.ptx 966 : 56815 370028 0 0 0 0 0 0 0 
_1.ptx 971 : 56815 361099 0 0 0 0 0 0 0 
_1.ptx 972 : 56815 524631 0 0 0 0 0 0 0 
_1.ptx 973 : 56815 640137 0 0 0 0 0 0 0 
_1.ptx 974 : 56815 3324407 0 0 0 0 0 0 0 
_1.ptx 976 : 56815 369831 0 0 0 0 0 0 0 
_1.ptx 977 : 56815 374593 0 0 0 0 0 0 0 
_1.ptx 978 : 56815 485651 0 0 0 0 0 0 0 
_1.ptx 979 : 56815 528475 0 0 0 0 0 0 0 
_1.ptx 982 : 56815 433947 0 0 0 0 0 0 0 
_1.ptx 983 : 56815 380119 0 0 0 0 0 0 0 
_1.ptx 986 : 164088 741482 0 0 0 6402 6402 0 0 
_1.ptx 987 : 164088 614666 0 0 0 0 0 0 0 
_1.ptx 988 : 164088 1939752 0 0 0 0 0 0 0 
_1.ptx 989 : 164088 1151585 0 0 0 0 0 0 0 
_1.ptx 990 : 164088 1948724 0 0 0 0 0 0 0 
_1.ptx 991 : 164088 1181322 0 0 0 0 0 0 0 
_1.ptx 992 : 164088 1952276 0 0 0 0 0 0 0 
_1.ptx 993 : 164088 1202606 0 0 0 0 0 0 0 
_1.ptx 994 : 164088 1967103 0 0 0 0 0 0 0 
_1.ptx 995 : 164088 1951929 0 0 0 0 0 0 0 
_1.ptx 996 : 164088 1991207 0 0 0 0 0 0 0 
_1.ptx 997 : 164088 1989777 0 0 0 0 0 0 0 
_1.ptx 998 : 164088 1996667 0 0 0 0 0 0 0 
_1.ptx 999 : 164088 1994458 0 0 0 0 0 0 0 
_1.ptx 1000 : 164088 2026945 0 0 0 0 0 0 0 
_1.ptx 1001 : 164088 2045719 0 0 0 0 0 0 0 
_1.ptx 1002 : 164088 1684381 0 0 0 0 0 0 0 
_1.ptx 1003 : 164088 1678721 0 0 0 0 0 0 0 
_1.ptx 1004 : 164088 2006020 0 0 0 0 0 0 0 
_1.ptx 1005 : 164088 1643870 0 0 0 0 0 0 0 
_1.ptx 1006 : 164088 1644769 0 0 0 0 0 0 0 
_1.ptx 1007 : 164088 2010488 0 0 0 0 0 0 0 
_1.ptx 1008 : 164088 1501856 0 0 0 0 0 0 0 
_1.ptx 1009 : 164088 1394665 0 0 0 0 0 0 0 
_1.ptx 1010 : 164088 1186621 0 0 0 0 0 0 0 
_1.ptx 1011 : 164088 1466692 0 0 0 0 0 0 0 
_1.ptx 1012 : 164088 1367103 0 0 0 0 0 0 0 
_1.ptx 1013 : 164088 1476456 0 0 0 0 0 0 0 
_1.ptx 1014 : 164088 1214667 0 0 0 0 0 0 0 
_1.ptx 1015 : 164088 1472959 0 0 0 0 0 0 0 
_1.ptx 1016 : 164088 841545 0 0 0 0 0 0 965 
_1.ptx 1017 : 50431 371910 0 0 0 0 0 0 0 
_1.ptx 1018 : 50431 371575 0 0 0 0 0 0 0 
_1.ptx 1020 : 113657 1354216 0 0 0 0 0 0 0 
_1.ptx 1021 : 113657 1357115 0 0 0 0 0 0 0 
_1.ptx 1022 : 113657 1023021 0 0 0 0 0 0 0 
_1.ptx 1023 : 113657 45428 0 0 0 0 0 0 344 
_1.ptx 1024 : 107587 803946 0 0 0 0 0 0 0 
_1.ptx 1025 : 107587 812010 0 0 0 0 0 0 0 
_1.ptx 1028 : 6070 72597 0 0 0 0 0 0 0 
_1.ptx 1029 : 6070 108790 0 0 0 0 0 0 0 
_1.ptx 1030 : 6070 73078 0 0 0 0 0 0 0 
_1.ptx 1031 : 6070 74431 0 0 0 0 0 0 0 
_1.ptx 1032 : 6070 59647 0 0 0 0 0 0 0 
_1.ptx 1036 : 164088 1379381 0 0 0 0 0 0 0 
_1.ptx 1039 : 220903 1594697 0 0 0 0 0 0 0 
_1.ptx 1040 : 220903 1936114 0 0 0 0 0 0 0 
_1.ptx 1041 : 220903 1519497 0 0 0 0 0 0 370 
_1.ptx 1042 : 6068 73279 0 0 0 0 0 0 0 
_1.ptx 1043 : 6068 73064 0 0 0 0 0 0 0 
_1.ptx 1044 : 6068 73662 0 0 0 0 0 0 0 
_1.ptx 1045 : 6068 73452 0 0 0 0 0 0 0 
_1.ptx 1046 : 6068 73471 0 0 0 0 0 0 0 
_1.ptx 1047 : 6068 73515 0 0 0 0 0 0 0 
_1.ptx 1048 : 6068 74025 0 0 0 0 0 0 0 
_1.ptx 1049 : 6068 61084 0 0 0 0 0 0 0 
_1.ptx 1050 : 6068 61564 0 0 0 0 0 0 0 
_1.ptx 1051 : 6068 55924 0 0 0 0 0 0 0 
_1.ptx 1052 : 6068 45602 0 0 0 0 0 0 0 
