kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 97 : 262144 2061504 0 0 0 0 0 0 0 
_1.ptx 98 : 262144 2247808 0 0 0 0 0 0 0 
_1.ptx 99 : 262144 0 0 0 0 0 0 0 0 
_1.ptx 100 : 262144 3005536 0 0 0 0 0 0 0 
_1.ptx 101 : 262144 2809184 0 0 0 0 0 0 0 
_1.ptx 102 : 262144 2069664 0 0 0 0 0 0 0 
_1.ptx 103 : 262144 1801632 0 0 0 0 0 0 0 
_1.ptx 104 : 262144 2218240 0 0 0 0 0 0 0 
_1.ptx 105 : 262144 3004768 0 0 0 0 0 0 0 
_1.ptx 106 : 262144 2036512 0 0 0 0 0 0 0 
_1.ptx 107 : 262144 2019424 0 0 0 0 0 0 0 
_1.ptx 108 : 262144 2827136 0 0 0 0 0 0 0 
_1.ptx 109 : 262144 4813440 0 0 0 0 0 0 0 
_1.ptx 110 : 262144 2973856 0 0 0 0 0 0 0 
_1.ptx 111 : 262144 4310560 0 0 0 0 0 0 0 
_1.ptx 112 : 262144 3002368 0 0 0 0 0 0 0 
_1.ptx 113 : 262144 1750912 0 0 0 0 0 0 0 
_1.ptx 114 : 262144 2041312 0 0 0 0 0 0 0 
_1.ptx 118 : 1048576 405368064 4194304 0 0 32768 32768 0 0 
_1.ptx 119 : 1048576 406742912 4194304 0 0 32768 32768 0 0 
_1.ptx 120 : 1048576 9744544 0 0 0 0 0 0 0 
_1.ptx 121 : 1048576 10912448 0 0 0 0 0 0 0 
_1.ptx 122 : 1048576 10992384 0 0 0 0 0 0 0 
_1.ptx 123 : 1048576 10993344 0 0 0 0 0 0 0 
_1.ptx 124 : 1048576 8806720 0 0 0 0 0 0 0 
_1.ptx 125 : 1048576 5132768 0 0 0 0 0 0 0 
_1.ptx 126 : 262144 1708960 0 0 0 0 0 0 0 
_1.ptx 131 : 262144 5592608 0 8192 8192 0 0 0 0 
_1.ptx 132 : 262144 2958016 0 0 0 0 0 0 0 
_1.ptx 133 : 262144 2976960 0 0 0 0 0 0 0 
_1.ptx 134 : 262144 2208736 0 0 0 0 0 0 0 
_1.ptx 135 : 262144 1300352 0 0 0 0 0 0 0 
_1.ptx 137 : 65536 432000 0 0 0 0 0 0 0 
_1.ptx 141 : 655360 4499360 0 0 0 0 0 0 0 
_1.ptx 142 : 655360 5549536 0 0 0 0 0 0 0 
_1.ptx 143 : 655360 3209874 0 0 0 0 0 0 1280 
_1.ptx 144 : 196352 1587580 0 0 0 0 0 0 0 
_1.ptx 145 : 196352 1409357 0 0 0 0 0 0 0 
_1.ptx 146 : 196352 1613323 0 0 0 0 0 0 0 
_1.ptx 147 : 196352 2268649 0 0 0 0 0 0 0 
_1.ptx 148 : 196352 2382059 0 0 0 0 0 0 0 
_1.ptx 149 : 196352 2778222 0 0 0 0 0 0 0 
_1.ptx 150 : 196352 2923149 0 0 0 0 0 0 0 
_1.ptx 151 : 196352 2355600 0 0 0 0 0 0 0 
_1.ptx 152 : 196352 1655116 0 0 0 0 0 0 0 
_1.ptx 153 : 196352 2763924 0 0 0 0 0 0 0 
_1.ptx 154 : 196352 2292254 0 0 0 0 0 0 0 
_1.ptx 158 : 261888 3666181 0 9216 9216 0 0 0 0 
_1.ptx 159 : 261888 3317378 0 9216 9216 0 0 0 0 
_1.ptx 160 : 261888 3017953 0 0 0 0 0 0 0 
_1.ptx 161 : 261888 2753409 0 9216 9216 0 0 0 0 
_1.ptx 162 : 261888 3026250 0 0 0 0 0 0 0 
_1.ptx 163 : 261888 3033197 0 0 0 0 0 0 0 
_1.ptx 66 : 32768 214016 0 0 0 0 0 0 0 
_1.ptx 164 : 261888 3077449 0 0 0 0 0 0 0 
_1.ptx 67 : 32768 242912 0 0 0 0 0 0 0 
_1.ptx 165 : 261888 2326460 0 0 0 0 0 0 0 
_1.ptx 68 : 32768 4768384 128 0 0 0 0 0 0 
_1.ptx 166 : 261888 474336 0 0 0 0 0 0 0 
_1.ptx 69 : 32768 279776 0 0 0 0 0 0 0 
_1.ptx 70 : 32768 0 0 0 0 0 0 0 0 
_1.ptx 71 : 32768 233920 0 0 0 0 0 0 0 
_1.ptx 169 : 655360 5288224 0 0 0 0 0 0 0 
_1.ptx 72 : 32768 230816 0 0 0 0 0 0 0 
